Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
504A0_S1_L001_R1_001	(1.0, 2.222872184849371)	(2.0, 0.8189529102076631)	(3.0, 0.7087092492181699)	(4.0, 0.4229756788984633)	(5.0, 0.3037325353792157)	(6.0, 0.24298602830337257)	(7.0, 0.23623641640605664)	(8.0, 0.12599275541656355)	(9.0, 0.20248835691947714)	('>10', 3.9912705019461385)	('>50', 1.9956352509730693)	('>100', 10.776880329381061)	('>500', 2.083380205638176)	('>1k', 34.16878529484554)	('>5k', 15.944833172092604)	('>10k+', 25.754269129525053)
504A0_S1_L001_R2_001	(1.0, 5.356941975836389)	(2.0, 1.2284293653114946)	(3.0, 1.0326906202893333)	(4.0, 0.5399689517852724)	(5.0, 0.4049767138389543)	(6.0, 0.41847593763358604)	(7.0, 0.3149818885414089)	(8.0, 0.32398137107116337)	(9.0, 0.22273719261142483)	('>10', 4.15326118748172)	('>50', 2.542353814655657)	('>100', 7.721556010529394)	('>500', 2.803338808018539)	('>1k', 35.81344072715819)	('>5k', 37.12286543523747)	('>10k+', 0.0)
504A14_S2_L001_R1_001	(1.0, 2.3425159960378013)	(2.0, 0.9637780097984097)	(3.0, 0.6264557063689663)	(4.0, 0.3319679811527856)	(5.0, 0.33464514229111453)	(6.0, 0.3533852702594169)	(7.0, 0.2436216635879314)	(8.0, 0.25700746927957596)	(9.0, 0.14456670146976147)	('>10', 4.200465826038069)	('>50', 2.674483977190587)	('>100', 7.691483950418975)	('>500', 9.18801702674484)	('>1k', 19.998393703317003)	('>5k', 50.64921157604476)	('>10k+', 0.0)
504A14_S2_L001_R2_001	(1.0, 5.362353760072819)	(2.0, 1.247557090461275)	(3.0, 0.8593687254035821)	(4.0, 0.6746446068588868)	(5.0, 0.45511739351591574)	(6.0, 0.5461408722190988)	(7.0, 0.4122828153026531)	(8.0, 0.3212593365994699)	(9.0, 0.2168500522046422)	('>10', 3.6007817310523924)	('>50', 2.848499451181967)	('>100', 5.434637110807699)	('>500', 12.416673359569511)	('>1k', 32.666720209889434)	('>5k', 32.93711348486065)	('>10k+', 0.0)
504B0_S3_L001_R1_001	(1.0, 2.1346860056537476)	(2.0, 0.7767298089878736)	(3.0, 0.6102877070619006)	(4.0, 0.38043909011650945)	(5.0, 0.38308102824231854)	(6.0, 0.17436791630340018)	(7.0, 0.3143906369712821)	(8.0, 0.19021954505825472)	(9.0, 0.14266465879369106)	('>10', 3.4952841404454307)	('>50', 1.4107949591820559)	('>100', 9.524186943541782)	('>500', 2.3592507463475205)	('>1k', 40.63036643681805)	('>5k', 37.47325037647618)	('>10k+', 0.0)
504B0_S3_L001_R2_001	(1.0, 5.146495469076115)	(2.0, 1.1096140128398193)	(3.0, 0.8242846952524372)	(4.0, 0.5917941401812369)	(5.0, 0.4755488626456368)	(6.0, 0.42799397638107317)	(7.0, 0.3698713376132731)	(8.0, 0.23249055507120026)	(9.0, 0.3566616469842276)	('>10', 3.1148450503289213)	('>50', 1.688198462392011)	('>100', 9.151673667802699)	('>500', 3.46886475918734)	('>1k', 26.128768064251933)	('>5k', 46.91289529999207)	('>10k+', 0.0)
504B14_S4_L001_R1_001	(1.0, 2.6726958567699715)	(2.0, 0.9926105657880225)	(3.0, 0.7279144149112164)	(4.0, 0.4264549097459653)	(5.0, 0.34925186574023015)	(6.0, 0.24263813830373882)	(7.0, 0.23160913201720526)	(8.0, 0.14705341715378112)	(9.0, 0.264696150876806)	('>10', 4.4373368626153455)	('>50', 3.003566045365979)	('>100', 8.870997389801845)	('>500', 2.896952317929488)	('>1k', 52.04220433072313)	('>5k', 22.69401860225727)	('>10k+', 0.0)
504B14_S4_L001_R2_001	(1.0, 6.470350354766369)	(2.0, 1.4337708172493657)	(3.0, 0.8823205029226866)	(4.0, 0.8676151612073085)	(5.0, 0.5882136686151245)	(6.0, 0.4191022388882762)	(7.0, 0.4117495680305871)	(8.0, 0.32351751773831844)	(9.0, 0.33087018859600753)	('>10', 4.220433072313519)	('>50', 2.0109554795779565)	('>100', 8.79379434579611)	('>500', 3.029300393367891)	('>1k', 70.21800669093048)	('>5k', 0.0)	('>10k+', 0.0)
