Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
504A0_S1_L001_R1_001	504A0_S1_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44447.0	12.2 Mbp	0.0	68-284	53.0	3.4288028438364795	276.8425090557293	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
504A0_S1_L001_R2_001	504A0_S1_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44447.0	11.8 Mbp	0.0	68-298	54.0	7.010596890678785	267.15704097014424	267	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
504A14_S2_L001_R1_001	504A14_S2_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37353.0	10.3 Mbp	0.0	180-298	53.0	3.6248761812973527	276.74620512408643	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
504A14_S2_L001_R2_001	504A14_S2_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37353.0	9.9 Mbp	0.0	177-297	54.0	7.054319599496693	267.15052338500254	267	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
504B0_S3_L001_R1_001	504B0_S3_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37851.0	10.4 Mbp	0.0	134-285	54.0	3.2601516472484215	276.890676600354	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
504B0_S3_L001_R2_001	504B0_S3_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37851.0	10.1 Mbp	0.0	134-297	55.0	6.665609891416343	267.1586615941455	267	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
504B14_S4_L001_R1_001	504B14_S4_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27201.0	7.5 Mbp	0.0	177-298	54.0	4.025587294584758	276.9764714532554	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
504B14_S4_L001_R2_001	504B14_S4_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27201.0	7.2 Mbp	0.0	177-297	55.0	8.3305760817617	267.16999375022976	267	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
