Sample	Unique Reads	Duplicate Reads
504A0_S1_L001_R1_001	1524.0	42923.0
504A0_S1_L001_R2_001	3116.0	41331.0
504A14_S2_L001_R1_001	1354.0	35999.0
504A14_S2_L001_R2_001	2635.0	34718.0
504B0_S3_L001_R1_001	1234.0	36617.0
504B0_S3_L001_R2_001	2523.0	35328.0
504B14_S4_L001_R1_001	1095.0	26106.0
504B14_S4_L001_R2_001	2267.0	24934.0
