Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
504A0_S1_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0015007578827308473)	(38.0, 0.0030015157654616946)	(39.0, 0.0015007578827308473)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.004502273648192542)	(45.0, 0.05402728377831052)	(46.0, 0.08854471508111998)	(47.0, 0.15757957768673883)	(48.0, 0.2626326294778989)	(49.0, 1.0460282442634106)	(50.0, 3.6798583284561412)	(51.0, 11.934026683476093)	(52.0, 21.633424879565617)	(53.0, 26.78252517521047)	(54.0, 9.990545225338762)	(55.0, 4.996773370552478)	(56.0, 8.711899509251845)	(57.0, 6.4089865382018845)	(58.0, 0.9312202662344976)	(59.0, 0.6760914261702463)	(60.0, 0.7038554470007677)	(61.0, 0.6288175528642233)	(62.0, 1.107559317455377)	(63.0, 0.13806972521123778)	(64.0, 0.01650833671003932)	(65.0, 0.013506820944577627)	(66.0, 0.01800909459277017)	(67.0, 0.009004547296385083)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
504A0_S1_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.001467308369526824)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.002934616739053648)	(37.0, 0.001467308369526824)	(38.0, 0.002934616739053648)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.002934616739053648)	(42.0, 0.004401925108580472)	(43.0, 0.01467308369526824)	(44.0, 0.027878859021009648)	(45.0, 0.03961732597722424)	(46.0, 0.19661932151659461)	(47.0, 0.2905270571663118)	(48.0, 0.9566850569314972)	(49.0, 3.05346871698536)	(50.0, 10.893297335367174)	(51.0, 13.268869585632185)	(52.0, 17.466838830850335)	(53.0, 17.415483037916875)	(54.0, 13.372314825683873)	(55.0, 7.84936612278319)	(56.0, 3.024856203779584)	(57.0, 0.9588860194857876)	(58.0, 0.8128888367178644)	(59.0, 2.481218452869834)	(60.0, 2.9375513557927277)	(61.0, 1.0476581758421628)	(62.0, 0.289059748796785)	(63.0, 0.21862894705949712)	(64.0, 0.24504049771098013)	(65.0, 0.3682944007512323)	(66.0, 0.41965019368467044)	(67.0, 0.1540673788003164)	(68.0, 0.14819814532220907)	(69.0, 0.3550886254254911)	(70.0, 1.2574832726844936)	(71.0, 0.2875924404272582)	(72.0, 0.05282310130296568)	(73.0, 0.016140392064795065)	(74.0, 0.01907500880384871)	(75.0, 0.00733654184763412)	(76.0, 0.004401925108580472)	(77.0, 0.002934616739053648)	(78.0, 0.001467308369526824)	(79.0, 0.002934616739053648)	(80.0, 0.002934616739053648)	(81.0, 0.002934616739053648)	(82.0, 0.002934616739053648)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.001467308369526824)	(88.0, 0.002934616739053648)	(89.0, 0.001467308369526824)	(90.0, 0.002934616739053648)	(91.0, 0.001467308369526824)	(92.0, 0.001467308369526824)	(93.0, 0.001467308369526824)	(94.0, 0.001467308369526824)	(95.0, 0.001467308369526824)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
504A14_S2_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.001720311720483643)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.006881246881934572)	(45.0, 0.03268592268918921)	(46.0, 0.06881246881934576)	(47.0, 0.3268592268918931)	(48.0, 1.0855166956251872)	(49.0, 1.3263603364929035)	(50.0, 2.6251956854579803)	(51.0, 9.012713103613198)	(52.0, 17.798345060126096)	(53.0, 21.14607166818878)	(54.0, 9.004111545010783)	(55.0, 3.8448966952810184)	(56.0, 13.033081594384239)	(57.0, 15.212716544238006)	(58.0, 3.311600061931029)	(59.0, 0.5143732044246077)	(60.0, 0.480827125875177)	(61.0, 0.4619036969498573)	(62.0, 0.6330747131379773)	(63.0, 0.06021091021692753)	(64.0, 0.00516093516145093)	(65.0, 0.001720311720483643)	(66.0, 0.001720311720483643)	(67.0, 0.001720311720483643)	(68.0, 0.0)	(69.0, 0.001720311720483643)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
504A14_S2_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0017171214176553492)	(34.0, 0.0034342428353106983)	(35.0, 0.0017171214176553492)	(36.0, 0.0017171214176553492)	(37.0, 0.0017171214176553492)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0034342428353106983)	(41.0, 0.0034342428353106983)	(42.0, 0.0)	(43.0, 0.008585607088276746)	(44.0, 0.012019849923587443)	(45.0, 0.06696773528855865)	(46.0, 0.2713051839895457)	(47.0, 0.24898260556002597)	(48.0, 0.642203410203097)	(49.0, 2.409121348970408)	(50.0, 8.601061181035128)	(51.0, 13.096485052457545)	(52.0, 20.11092604358284)	(53.0, 18.972474543676825)	(54.0, 11.050534883320267)	(55.0, 5.737761217095484)	(56.0, 2.6520940295686284)	(57.0, 4.401840754159628)	(58.0, 4.387245222109556)	(59.0, 2.3644761921113715)	(60.0, 2.1378161649808782)	(61.0, 0.5374590037261222)	(62.0, 0.1373697134124278)	(63.0, 0.12363274207118505)	(64.0, 0.1459553205007045)	(65.0, 0.19575184161270978)	(66.0, 0.22494290571285092)	(67.0, 0.09272455655338888)	(68.0, 0.07040197812386935)	(69.0, 0.20433744870098658)	(70.0, 0.7847244878684944)	(71.0, 0.19231759877739904)	(72.0, 0.03434242835310697)	(73.0, 0.010302728505932094)	(74.0, 0.006868485670621397)	(75.0, 0.008585607088276746)	(76.0, 0.005151364252966048)	(77.0, 0.0034342428353106983)	(78.0, 0.006868485670621397)	(79.0, 0.005151364252966048)	(80.0, 0.0017171214176553492)	(81.0, 0.0)	(82.0, 0.0017171214176553492)	(83.0, 0.0034342428353106983)	(84.0, 0.0017171214176553492)	(85.0, 0.0017171214176553492)	(86.0, 0.0017171214176553492)	(87.0, 0.0017171214176553492)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0017171214176553492)	(91.0, 0.0017171214176553492)	(92.0, 0.0034342428353106983)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
504B0_S3_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0017195426016678528)	(43.0, 0.0017195426016678528)	(44.0, 0.0)	(45.0, 0.0017195426016678528)	(46.0, 0.0017195426016678528)	(47.0, 0.02235405382168209)	(48.0, 0.10661164130340685)	(49.0, 0.7411228613188431)	(50.0, 2.5148310549391826)	(51.0, 14.558507437021733)	(52.0, 21.728140314678292)	(53.0, 21.176167139543413)	(54.0, 10.184850829677817)	(55.0, 4.8852205313385655)	(56.0, 10.3628234889504)	(57.0, 7.432722895709046)	(58.0, 0.8752471842489395)	(59.0, 0.7823918837588728)	(60.0, 0.9061989510789616)	(61.0, 0.9061989510789616)	(62.0, 2.5053735706300095)	(63.0, 0.26309001805518195)	(64.0, 0.018914968618346385)	(65.0, 0.005158627805003559)	(66.0, 0.008597713008339265)	(67.0, 0.008597713008339265)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
504B0_S3_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.001754478305875674)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.003508956611751348)	(37.0, 0.0)	(38.0, 0.003508956611751348)	(39.0, 0.003508956611751348)	(40.0, 0.001754478305875674)	(41.0, 0.001754478305875674)	(42.0, 0.003508956611751348)	(43.0, 0.003508956611751348)	(44.0, 0.003508956611751348)	(45.0, 0.01754478305875674)	(46.0, 0.04737091425864318)	(47.0, 0.13684930785830243)	(48.0, 0.9596996333139979)	(49.0, 2.7106689825778565)	(50.0, 8.641682895590137)	(51.0, 10.882151692192934)	(52.0, 17.113181395513223)	(53.0, 17.100900047372086)	(54.0, 17.70093162798184)	(55.0, 7.02931733249076)	(56.0, 2.4360931277083266)	(57.0, 0.7245995403266509)	(58.0, 0.6684562345386279)	(59.0, 2.8317279856832918)	(60.0, 3.3878976086459436)	(61.0, 1.035142200466654)	(62.0, 0.2982613119988652)	(63.0, 0.22983665806971346)	(64.0, 0.2877344421636111)	(65.0, 0.4473919679982962)	(66.0, 0.5772233626330942)	(67.0, 0.3017702686106166)	(68.0, 0.25439935435197303)	(69.0, 0.7245995403266509)	(70.0, 2.6597891117074624)	(71.0, 0.5965226239977264)	(72.0, 0.08246048037615673)	(73.0, 0.02982613119988645)	(74.0, 0.014035826447005392)	(75.0, 0.008772391529378368)	(76.0, 0.007017913223502696)	(77.0, 0.007017913223502696)	(78.0, 0.003508956611751348)	(79.0, 0.001754478305875674)	(80.0, 0.001754478305875674)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.001754478305875674)	(84.0, 0.003508956611751348)	(85.0, 0.001754478305875674)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.001754478305875674)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.001754478305875674)	(96.0, 0.001754478305875674)	(97.0, 0.003508956611751348)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
504B14_S4_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0025330563858350632)	(39.0, 0.0025330563858350632)	(40.0, 0.0)	(41.0, 0.0025330563858350632)	(42.0, 0.0025330563858350632)	(43.0, 0.0025330563858350632)	(44.0, 0.0025330563858350632)	(45.0, 0.0050661127716701265)	(46.0, 0.010132225543340253)	(47.0, 0.0278636202441857)	(48.0, 0.11652059374841299)	(49.0, 0.5800699123562295)	(50.0, 3.1789857642229564)	(51.0, 8.478139723390152)	(52.0, 19.80343482445904)	(53.0, 26.490703683066645)	(54.0, 11.935761690054226)	(55.0, 10.635037235928218)	(56.0, 9.110137291655857)	(57.0, 2.5811844571659153)	(58.0, 0.8308424945538971)	(59.0, 0.8181772126247221)	(60.0, 1.3273215461775778)	(61.0, 1.4109124069101373)	(62.0, 2.2974821419524045)	(63.0, 0.2862353715993621)	(64.0, 0.015198338315010381)	(65.0, 0.012665281929175317)	(66.0, 0.020264451086680506)	(67.0, 0.012665281929175317)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
504B14_S4_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0023936042893389284)	(36.0, 0.0023936042893389284)	(37.0, 0.0023936042893389284)	(38.0, 0.0023936042893389284)	(39.0, 0.0)	(40.0, 0.0023936042893389284)	(41.0, 0.007180812868016787)	(42.0, 0.0)	(43.0, 0.011968021446694642)	(44.0, 0.011968021446694642)	(45.0, 0.01436162573603357)	(46.0, 0.06941452439082893)	(47.0, 0.2680836804059599)	(48.0, 1.072334721623839)	(49.0, 4.7752405572312036)	(50.0, 11.745416247785458)	(51.0, 11.930920580209182)	(52.0, 10.719756809803961)	(53.0, 10.443295514385378)	(54.0, 8.668437933840965)	(55.0, 7.457274163435742)	(56.0, 3.3462587964957575)	(57.0, 1.0376274594284238)	(58.0, 1.511561108717545)	(59.0, 7.654746517306159)	(60.0, 9.41643927425921)	(61.0, 2.76700655847577)	(62.0, 0.5553161951266313)	(63.0, 0.37579587342621246)	(64.0, 0.44999760639571984)	(65.0, 0.5888266551773759)	(66.0, 0.5960074680453925)	(67.0, 0.25372205466992626)	(68.0, 0.2393604289338926)	(69.0, 0.7156876825123373)	(70.0, 2.515678108095196)	(71.0, 0.6055818852027481)	(72.0, 0.08856335870554038)	(73.0, 0.038297668629422854)	(74.0, 0.009574417157355714)	(75.0, 0.009574417157355714)	(76.0, 0.004787208578677857)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0023936042893389284)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0023936042893389284)	(88.0, 0.0)	(89.0, 0.0023936042893389284)	(90.0, 0.0)	(91.0, 0.0023936042893389284)	(92.0, 0.0023936042893389284)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
