Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
504A0_S1_L001_R1_001	25.754269129525053	65.6129772538079
504A0_S1_L001_R2_001	20.779805161203228	65.53648165230499
504A14_S2_L001_R1_001	17.658554868417532	73.53090782534201
504A14_S2_L001_R2_001	17.519342489224428	69.56603217947688
504B0_S3_L001_R1_001	19.70357454228422	72.78803730416634
504B0_S3_L001_R2_001	18.731341311986473	69.37201130749519
504B14_S4_L001_R1_001	22.69401860225727	69.39083121944046
504B14_S4_L001_R2_001	15.650159920591156	70.0305135840594
