Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
504A0_S1_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.3333333333333333)	(38.0, 0.6666666666666666)	(39.0, 0.3333333333333333)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 1.0)	(45.0, 12.000000000000004)	(46.0, 19.666666666666664)	(47.0, 34.99999999999997)	(48.0, 58.33333333333347)	(49.0, 232.33333333333556)	(50.0, 817.3333333333563)	(51.0, 2650.6666666667543)	(52.0, 4805.0000000001)	(53.0, 5948.666666665727)	(54.0, 2218.9999999998913)	(55.0, 1109.8333333333603)	(56.0, 1934.9999999998392)	(57.0, 1423.4999999999557)	(58.0, 206.83333333333485)	(59.0, 150.16666666666657)	(60.0, 156.3333333333334)	(61.0, 139.66666666666626)	(62.0, 246.00000000000261)	(63.0, 30.666666666666625)	(64.0, 3.666666666666667)	(65.0, 3.0)	(66.0, 4.0)	(67.0, 1.9999999999999998)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
504A0_S1_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.3333333333333333)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.6666666666666666)	(37.0, 0.3333333333333333)	(38.0, 0.6666666666666666)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.6666666666666666)	(42.0, 1.0)	(43.0, 3.3333333333333335)	(44.0, 6.333333333333331)	(45.0, 8.999999999999998)	(46.0, 44.66666666666671)	(47.0, 66.00000000000014)	(48.0, 217.33333333333513)	(49.0, 693.6666666666756)	(50.0, 2474.6666666666742)	(51.0, 3014.3333333335863)	(52.0, 3968.0000000006867)	(53.0, 3956.3333333340147)	(54.0, 3037.8333333335972)	(55.0, 1783.1666666665406)	(56.0, 687.1666666666749)	(57.0, 217.83333333333516)	(58.0, 184.66666666666754)	(59.0, 563.6666666666608)	(60.0, 667.3333333333393)	(61.0, 238.0000000000024)	(62.0, 65.66666666666681)	(63.0, 49.66666666666674)	(64.0, 55.666666666666785)	(65.0, 83.66666666666656)	(66.0, 95.33333333333306)	(67.0, 34.99999999999997)	(68.0, 33.66666666666663)	(69.0, 80.6666666666666)	(70.0, 285.6666666666679)	(71.0, 65.33333333333348)	(72.0, 12.000000000000004)	(73.0, 3.666666666666667)	(74.0, 4.333333333333333)	(75.0, 1.6666666666666665)	(76.0, 1.0)	(77.0, 0.6666666666666666)	(78.0, 0.3333333333333333)	(79.0, 0.6666666666666666)	(80.0, 0.6666666666666666)	(81.0, 0.6666666666666666)	(82.0, 0.6666666666666666)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.3333333333333333)	(88.0, 0.6666666666666666)	(89.0, 0.3333333333333333)	(90.0, 0.6666666666666666)	(91.0, 0.3333333333333333)	(92.0, 0.3333333333333333)	(93.0, 0.3333333333333333)	(94.0, 0.3333333333333333)	(95.0, 0.3333333333333333)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
504A14_S2_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.3333333333333333)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 1.3333333333333333)	(45.0, 6.333333333333331)	(46.0, 13.33333333333334)	(47.0, 63.333333333333506)	(48.0, 210.33333333333493)	(49.0, 257.00000000000284)	(50.0, 508.6666666666552)	(51.0, 1746.3333333332155)	(52.0, 3448.666666667117)	(53.0, 4097.333333334077)	(54.0, 1744.6666666665492)	(55.0, 745.0000000000148)	(56.0, 2525.333333333364)	(57.0, 2947.6666666668893)	(58.0, 641.6666666666697)	(59.0, 99.66666666666633)	(60.0, 93.16666666666643)	(61.0, 89.49999999999982)	(62.0, 122.666666666666)	(63.0, 11.66666666666667)	(64.0, 1.0)	(65.0, 0.3333333333333333)	(66.0, 0.3333333333333333)	(67.0, 0.3333333333333333)	(68.0, 0.0)	(69.0, 0.3333333333333333)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
504A14_S2_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.3333333333333333)	(34.0, 0.6666666666666666)	(35.0, 0.3333333333333333)	(36.0, 0.3333333333333333)	(37.0, 0.3333333333333333)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.6666666666666666)	(41.0, 0.6666666666666666)	(42.0, 0.0)	(43.0, 1.6666666666666665)	(44.0, 2.333333333333333)	(45.0, 13.000000000000005)	(46.0, 52.666666666666764)	(47.0, 48.3333333333334)	(48.0, 124.66666666666598)	(49.0, 467.66666666665753)	(50.0, 1669.6666666665662)	(51.0, 2542.3333333333717)	(52.0, 3904.0000000006576)	(53.0, 3683.000000000557)	(54.0, 2145.1666666665246)	(55.0, 1113.8333333333594)	(56.0, 514.833333333322)	(57.0, 854.5000000000273)	(58.0, 851.6666666666936)	(59.0, 458.99999999999136)	(60.0, 414.99999999999386)	(61.0, 104.33333333333293)	(62.0, 26.66666666666664)	(63.0, 23.999999999999982)	(64.0, 28.3333333333333)	(65.0, 37.99999999999999)	(66.0, 43.6666666666667)	(67.0, 18.000000000000004)	(68.0, 13.666666666666673)	(69.0, 39.66666666666667)	(70.0, 152.3333333333333)	(71.0, 37.33333333333332)	(72.0, 6.666666666666664)	(73.0, 1.9999999999999998)	(74.0, 1.3333333333333333)	(75.0, 1.6666666666666665)	(76.0, 1.0)	(77.0, 0.6666666666666666)	(78.0, 1.3333333333333333)	(79.0, 1.0)	(80.0, 0.3333333333333333)	(81.0, 0.0)	(82.0, 0.3333333333333333)	(83.0, 0.6666666666666666)	(84.0, 0.3333333333333333)	(85.0, 0.3333333333333333)	(86.0, 0.3333333333333333)	(87.0, 0.3333333333333333)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.3333333333333333)	(91.0, 0.3333333333333333)	(92.0, 0.6666666666666666)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
504B0_S3_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.3333333333333333)	(43.0, 0.3333333333333333)	(44.0, 0.0)	(45.0, 0.3333333333333333)	(46.0, 0.3333333333333333)	(47.0, 4.333333333333333)	(48.0, 20.66666666666666)	(49.0, 143.66666666666637)	(50.0, 487.49999999998977)	(51.0, 2822.1666666668325)	(52.0, 4212.000000000639)	(53.0, 4105.000000000737)	(54.0, 1974.3333333331636)	(55.0, 947.0000000000377)	(56.0, 2008.833333333156)	(57.0, 1440.833333333285)	(58.0, 169.6666666666671)	(59.0, 151.6666666666666)	(60.0, 175.66666666666728)	(61.0, 175.66666666666728)	(62.0, 485.6666666666565)	(63.0, 51.000000000000085)	(64.0, 3.666666666666667)	(65.0, 1.0)	(66.0, 1.6666666666666665)	(67.0, 1.6666666666666665)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
504B0_S3_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.3333333333333333)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.6666666666666666)	(37.0, 0.0)	(38.0, 0.6666666666666666)	(39.0, 0.6666666666666666)	(40.0, 0.3333333333333333)	(41.0, 0.3333333333333333)	(42.0, 0.6666666666666666)	(43.0, 0.6666666666666666)	(44.0, 0.6666666666666666)	(45.0, 3.3333333333333335)	(46.0, 8.999999999999998)	(47.0, 25.999999999999975)	(48.0, 182.33333333333414)	(49.0, 514.9999999999886)	(50.0, 1641.8333333332394)	(51.0, 2067.4999999998226)	(52.0, 3251.333333333694)	(53.0, 3249.0000000003597)	(54.0, 3363.0000000004115)	(55.0, 1335.4999999999757)	(56.0, 462.83333333332445)	(57.0, 137.6666666666662)	(58.0, 126.99999999999928)	(59.0, 537.9999999999912)	(60.0, 643.6666666666699)	(61.0, 196.66666666666788)	(62.0, 56.66666666666679)	(63.0, 43.6666666666667)	(64.0, 54.66666666666678)	(65.0, 84.99999999999987)	(66.0, 109.66666666666619)	(67.0, 57.333333333333464)	(68.0, 48.3333333333334)	(69.0, 137.6666666666662)	(70.0, 505.33333333332206)	(71.0, 113.3333333333328)	(72.0, 15.666666666666677)	(73.0, 5.666666666666665)	(74.0, 2.6666666666666665)	(75.0, 1.6666666666666665)	(76.0, 1.3333333333333333)	(77.0, 1.3333333333333333)	(78.0, 0.6666666666666666)	(79.0, 0.3333333333333333)	(80.0, 0.3333333333333333)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.3333333333333333)	(84.0, 0.6666666666666666)	(85.0, 0.3333333333333333)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.3333333333333333)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.3333333333333333)	(96.0, 0.3333333333333333)	(97.0, 0.6666666666666666)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
504B14_S4_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.3333333333333333)	(39.0, 0.3333333333333333)	(40.0, 0.0)	(41.0, 0.3333333333333333)	(42.0, 0.3333333333333333)	(43.0, 0.3333333333333333)	(44.0, 0.3333333333333333)	(45.0, 0.6666666666666666)	(46.0, 1.3333333333333333)	(47.0, 3.666666666666667)	(48.0, 15.333333333333343)	(49.0, 76.33333333333333)	(50.0, 418.333333333327)	(51.0, 1115.6666666666922)	(52.0, 2606.0000000000673)	(53.0, 3486.0000000004675)	(54.0, 1570.6666666665888)	(55.0, 1399.4999999999611)	(56.0, 1198.83333333334)	(57.0, 339.6666666666648)	(58.0, 109.33333333333286)	(59.0, 107.66666666666622)	(60.0, 174.66666666666725)	(61.0, 185.66666666666757)	(62.0, 302.3333333333336)	(63.0, 37.66666666666666)	(64.0, 1.9999999999999998)	(65.0, 1.6666666666666665)	(66.0, 2.6666666666666665)	(67.0, 1.6666666666666665)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
504B14_S4_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.3333333333333333)	(36.0, 0.3333333333333333)	(37.0, 0.3333333333333333)	(38.0, 0.3333333333333333)	(39.0, 0.0)	(40.0, 0.3333333333333333)	(41.0, 1.0)	(42.0, 0.0)	(43.0, 1.6666666666666665)	(44.0, 1.6666666666666665)	(45.0, 1.9999999999999998)	(46.0, 9.666666666666666)	(47.0, 37.33333333333332)	(48.0, 149.3333333333332)	(49.0, 665.0000000000057)	(50.0, 1635.666666666574)	(51.0, 1661.4999999999015)	(52.0, 1492.8333333332732)	(53.0, 1454.3333333332819)	(54.0, 1207.1666666666715)	(55.0, 1038.5000000000432)	(56.0, 465.99999999999096)	(57.0, 144.49999999999974)	(58.0, 210.5000000000016)	(59.0, 1066.0000000000368)	(60.0, 1311.3333333333144)	(61.0, 385.3333333333289)	(62.0, 77.33333333333331)	(63.0, 52.33333333333343)	(64.0, 62.666666666666835)	(65.0, 81.99999999999991)	(66.0, 82.9999999999999)	(67.0, 35.33333333333331)	(68.0, 33.33333333333329)	(69.0, 99.66666666666633)	(70.0, 350.33333333333087)	(71.0, 84.33333333333321)	(72.0, 12.333333333333337)	(73.0, 5.333333333333332)	(74.0, 1.3333333333333333)	(75.0, 1.3333333333333333)	(76.0, 0.6666666666666666)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.3333333333333333)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.3333333333333333)	(88.0, 0.0)	(89.0, 0.3333333333333333)	(90.0, 0.0)	(91.0, 0.3333333333333333)	(92.0, 0.3333333333333333)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
