Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
504A0_S1_L001_R1_001	96.57119715616352	53.0	276.8425090557293	277	45.45454545454545	0.044447
504A0_S1_L001_R2_001	92.98940310932122	54.0	267.15704097014424	267	54.54545454545454	0.044447
504A14_S2_L001_R1_001	96.37512381870265	53.0	276.74620512408643	277	45.45454545454545	0.037353
504A14_S2_L001_R2_001	92.9456804005033	54.0	267.15052338500254	267	54.54545454545454	0.037353
504B0_S3_L001_R1_001	96.73984835275158	54.0	276.890676600354	277	45.45454545454545	0.037850999999999996
504B0_S3_L001_R2_001	93.33439010858366	55.0	267.1586615941455	267	54.54545454545454	0.037850999999999996
504B14_S4_L001_R1_001	95.97441270541525	54.0	276.9764714532554	277	45.45454545454545	0.027201
504B14_S4_L001_R2_001	91.6694239182383	55.0	267.16999375022976	267	54.54545454545454	0.027201
