.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
682A0_S145_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
682A0_S145_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
682A14_S146_L001_R1_001	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
682A14_S146_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
682B0_S147_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
682B0_S147_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
682B14_S148_L001_R1_001	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
682B14_S148_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
688A0_S137_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
688A0_S137_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
688A14_S138_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
688A14_S138_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
688B0_S139_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
688B0_S139_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
688B14_S140_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
688B14_S140_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
692A0_S157_L001_R1_001	1	1	0.25	1	0.25	1	1	0.5	0.25	0.25	1
692A0_S157_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
692A14_S158_L001_R1_001	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
692A14_S158_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
692B0_S159_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
692B0_S159_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
692B14_S160_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
692B14_S160_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
722A0_S149_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
722A0_S149_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
722A14_S150_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
722A14_S150_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
722B0_S151_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
722B0_S151_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
722B14_S152_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
722B14_S152_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
727A0_S161_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
727A0_S161_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
727A14_S162_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
727A14_S162_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
727B0_S163_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
727B0_S163_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
727B14_S164_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
727B14_S164_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
