Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
521B14_S28_L001_R1_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 4.0)	(19.0, 3.0)	(20.0, 16.0)	(21.0, 45.0)	(22.0, 73.0)	(23.0, 119.0)	(24.0, 129.0)	(25.0, 164.0)	(26.0, 217.0)	(27.0, 242.0)	(28.0, 313.0)	(29.0, 375.0)	(30.0, 488.0)	(31.0, 628.0)	(32.0, 840.0)	(33.0, 1226.0)	(34.0, 1734.0)	(35.0, 2949.0)	(36.0, 6385.0)	(37.0, 13864.0)
521B14_S28_L001_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 5.0)	(12.0, 34.0)	(13.0, 125.0)	(14.0, 106.0)	(15.0, 56.0)	(16.0, 52.0)	(17.0, 61.0)	(18.0, 103.0)	(19.0, 129.0)	(20.0, 170.0)	(21.0, 205.0)	(22.0, 240.0)	(23.0, 318.0)	(24.0, 414.0)	(25.0, 518.0)	(26.0, 660.0)	(27.0, 864.0)	(28.0, 1144.0)	(29.0, 1499.0)	(30.0, 2127.0)	(31.0, 2860.0)	(32.0, 4070.0)	(33.0, 5301.0)	(34.0, 5547.0)	(35.0, 2913.0)	(36.0, 288.0)	(37.0, 6.0)
523A0_S17_L001_R1_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 11.0)	(20.0, 16.0)	(21.0, 25.0)	(22.0, 51.0)	(23.0, 80.0)	(24.0, 91.0)	(25.0, 125.0)	(26.0, 151.0)	(27.0, 183.0)	(28.0, 261.0)	(29.0, 308.0)	(30.0, 392.0)	(31.0, 513.0)	(32.0, 725.0)	(33.0, 1011.0)	(34.0, 1599.0)	(35.0, 2538.0)	(36.0, 5371.0)	(37.0, 12083.0)
523A0_S17_L001_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 3.0)	(12.0, 31.0)	(13.0, 104.0)	(14.0, 72.0)	(15.0, 35.0)	(16.0, 38.0)	(17.0, 62.0)	(18.0, 89.0)	(19.0, 123.0)	(20.0, 154.0)	(21.0, 207.0)	(22.0, 246.0)	(23.0, 362.0)	(24.0, 400.0)	(25.0, 489.0)	(26.0, 684.0)	(27.0, 882.0)	(28.0, 1180.0)	(29.0, 1577.0)	(30.0, 2116.0)	(31.0, 2745.0)	(32.0, 3470.0)	(33.0, 4398.0)	(34.0, 4089.0)	(35.0, 1828.0)	(36.0, 150.0)	(37.0, 2.0)
523A14_S18_L001_R1_001	(2.0, 4.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 5.0)	(20.0, 8.0)	(21.0, 11.0)	(22.0, 38.0)	(23.0, 60.0)	(24.0, 89.0)	(25.0, 112.0)	(26.0, 137.0)	(27.0, 182.0)	(28.0, 220.0)	(29.0, 294.0)	(30.0, 359.0)	(31.0, 483.0)	(32.0, 604.0)	(33.0, 859.0)	(34.0, 1342.0)	(35.0, 2240.0)	(36.0, 4894.0)	(37.0, 11619.0)
523A14_S18_L001_R2_001	(2.0, 4.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 2.0)	(12.0, 36.0)	(13.0, 97.0)	(14.0, 64.0)	(15.0, 42.0)	(16.0, 45.0)	(17.0, 49.0)	(18.0, 84.0)	(19.0, 96.0)	(20.0, 157.0)	(21.0, 176.0)	(22.0, 218.0)	(23.0, 262.0)	(24.0, 330.0)	(25.0, 415.0)	(26.0, 594.0)	(27.0, 720.0)	(28.0, 906.0)	(29.0, 1279.0)	(30.0, 1669.0)	(31.0, 2381.0)	(32.0, 3278.0)	(33.0, 4210.0)	(34.0, 4183.0)	(35.0, 2087.0)	(36.0, 174.0)	(37.0, 2.0)
523B0_S19_L001_R1_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 4.0)	(17.0, 5.0)	(18.0, 8.0)	(19.0, 12.0)	(20.0, 16.0)	(21.0, 24.0)	(22.0, 33.0)	(23.0, 59.0)	(24.0, 94.0)	(25.0, 121.0)	(26.0, 146.0)	(27.0, 164.0)	(28.0, 192.0)	(29.0, 285.0)	(30.0, 345.0)	(31.0, 447.0)	(32.0, 648.0)	(33.0, 867.0)	(34.0, 1259.0)	(35.0, 2178.0)	(36.0, 4561.0)	(37.0, 10305.0)
523B0_S19_L001_R2_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 6.0)	(12.0, 37.0)	(13.0, 101.0)	(14.0, 69.0)	(15.0, 48.0)	(16.0, 47.0)	(17.0, 60.0)	(18.0, 85.0)	(19.0, 107.0)	(20.0, 125.0)	(21.0, 154.0)	(22.0, 233.0)	(23.0, 262.0)	(24.0, 317.0)	(25.0, 450.0)	(26.0, 588.0)	(27.0, 716.0)	(28.0, 971.0)	(29.0, 1242.0)	(30.0, 1755.0)	(31.0, 2317.0)	(32.0, 3164.0)	(33.0, 3759.0)	(34.0, 3535.0)	(35.0, 1515.0)	(36.0, 111.0)	
523B14_S20_L001_R1_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 5.0)	(20.0, 18.0)	(21.0, 20.0)	(22.0, 37.0)	(23.0, 72.0)	(24.0, 83.0)	(25.0, 96.0)	(26.0, 108.0)	(27.0, 149.0)	(28.0, 193.0)	(29.0, 287.0)	(30.0, 319.0)	(31.0, 448.0)	(32.0, 574.0)	(33.0, 826.0)	(34.0, 1169.0)	(35.0, 2092.0)	(36.0, 4242.0)	(37.0, 10045.0)
523B14_S20_L001_R2_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 31.0)	(13.0, 98.0)	(14.0, 60.0)	(15.0, 52.0)	(16.0, 44.0)	(17.0, 68.0)	(18.0, 93.0)	(19.0, 136.0)	(20.0, 177.0)	(21.0, 173.0)	(22.0, 246.0)	(23.0, 347.0)	(24.0, 369.0)	(25.0, 485.0)	(26.0, 590.0)	(27.0, 794.0)	(28.0, 980.0)	(29.0, 1379.0)	(30.0, 1756.0)	(31.0, 2419.0)	(32.0, 3177.0)	(33.0, 3584.0)	(34.0, 2802.0)	(35.0, 867.0)	(36.0, 54.0)	(37.0, 3.0)
528A0_S53_L001_R1_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 2.0)	(18.0, 0.0)	(19.0, 7.0)	(20.0, 15.0)	(21.0, 39.0)	(22.0, 64.0)	(23.0, 85.0)	(24.0, 137.0)	(25.0, 157.0)	(26.0, 157.0)	(27.0, 211.0)	(28.0, 266.0)	(29.0, 358.0)	(30.0, 443.0)	(31.0, 601.0)	(32.0, 794.0)	(33.0, 1094.0)	(34.0, 1633.0)	(35.0, 2728.0)	(36.0, 5762.0)	(37.0, 9447.0)
528A0_S53_L001_R2_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 2.0)	(12.0, 39.0)	(13.0, 119.0)	(14.0, 93.0)	(15.0, 63.0)	(16.0, 49.0)	(17.0, 45.0)	(18.0, 53.0)	(19.0, 75.0)	(20.0, 98.0)	(21.0, 132.0)	(22.0, 152.0)	(23.0, 213.0)	(24.0, 268.0)	(25.0, 370.0)	(26.0, 490.0)	(27.0, 688.0)	(28.0, 928.0)	(29.0, 1209.0)	(30.0, 1682.0)	(31.0, 2416.0)	(32.0, 3218.0)	(33.0, 4411.0)	(34.0, 4706.0)	(35.0, 2250.0)	(36.0, 226.0)	(37.0, 6.0)
528A14_S54_L001_R1_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 8.0)	(20.0, 18.0)	(21.0, 51.0)	(22.0, 95.0)	(23.0, 129.0)	(24.0, 115.0)	(25.0, 143.0)	(26.0, 172.0)	(27.0, 231.0)	(28.0, 261.0)	(29.0, 371.0)	(30.0, 480.0)	(31.0, 685.0)	(32.0, 848.0)	(33.0, 1189.0)	(34.0, 1692.0)	(35.0, 2755.0)	(36.0, 5637.0)	(37.0, 10298.0)
528A14_S54_L001_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 4.0)	(12.0, 67.0)	(13.0, 132.0)	(14.0, 97.0)	(15.0, 57.0)	(16.0, 46.0)	(17.0, 57.0)	(18.0, 62.0)	(19.0, 89.0)	(20.0, 103.0)	(21.0, 123.0)	(22.0, 199.0)	(23.0, 223.0)	(24.0, 289.0)	(25.0, 384.0)	(26.0, 528.0)	(27.0, 693.0)	(28.0, 940.0)	(29.0, 1273.0)	(30.0, 1791.0)	(31.0, 2448.0)	(32.0, 3199.0)	(33.0, 4235.0)	(34.0, 4960.0)	(35.0, 2846.0)	(36.0, 325.0)	(37.0, 8.0)
528B0_S55_L001_R1_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 1.0)	(19.0, 3.0)	(20.0, 15.0)	(21.0, 31.0)	(22.0, 62.0)	(23.0, 102.0)	(24.0, 123.0)	(25.0, 120.0)	(26.0, 190.0)	(27.0, 194.0)	(28.0, 238.0)	(29.0, 354.0)	(30.0, 434.0)	(31.0, 532.0)	(32.0, 734.0)	(33.0, 1050.0)	(34.0, 1517.0)	(35.0, 2553.0)	(36.0, 5408.0)	(37.0, 10615.0)
528B0_S55_L001_R2_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 4.0)	(12.0, 46.0)	(13.0, 121.0)	(14.0, 105.0)	(15.0, 62.0)	(16.0, 41.0)	(17.0, 47.0)	(18.0, 56.0)	(19.0, 89.0)	(20.0, 116.0)	(21.0, 166.0)	(22.0, 202.0)	(23.0, 250.0)	(24.0, 359.0)	(25.0, 425.0)	(26.0, 589.0)	(27.0, 753.0)	(28.0, 1084.0)	(29.0, 1343.0)	(30.0, 1770.0)	(31.0, 2417.0)	(32.0, 3272.0)	(33.0, 4338.0)	(34.0, 4350.0)	(35.0, 2089.0)	(36.0, 179.0)	(37.0, 5.0)
528B14_S56_L001_R1_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 5.0)	(19.0, 8.0)	(20.0, 16.0)	(21.0, 36.0)	(22.0, 78.0)	(23.0, 114.0)	(24.0, 107.0)	(25.0, 156.0)	(26.0, 159.0)	(27.0, 223.0)	(28.0, 314.0)	(29.0, 400.0)	(30.0, 474.0)	(31.0, 630.0)	(32.0, 861.0)	(33.0, 1178.0)	(34.0, 1690.0)	(35.0, 2762.0)	(36.0, 5849.0)	(37.0, 10702.0)
528B14_S56_L001_R2_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 2.0)	(12.0, 51.0)	(13.0, 143.0)	(14.0, 89.0)	(15.0, 63.0)	(16.0, 64.0)	(17.0, 65.0)	(18.0, 83.0)	(19.0, 119.0)	(20.0, 136.0)	(21.0, 179.0)	(22.0, 257.0)	(23.0, 311.0)	(24.0, 412.0)	(25.0, 525.0)	(26.0, 664.0)	(27.0, 872.0)	(28.0, 1129.0)	(29.0, 1522.0)	(30.0, 2028.0)	(31.0, 2665.0)	(32.0, 3400.0)	(33.0, 4361.0)	(34.0, 4270.0)	(35.0, 2127.0)	(36.0, 217.0)	(37.0, 8.0)
532A0_S45_L001_R1_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 10.0)	(20.0, 19.0)	(21.0, 48.0)	(22.0, 104.0)	(23.0, 158.0)	(24.0, 186.0)	(25.0, 236.0)	(26.0, 226.0)	(27.0, 324.0)	(28.0, 416.0)	(29.0, 562.0)	(30.0, 667.0)	(31.0, 922.0)	(32.0, 1312.0)	(33.0, 1655.0)	(34.0, 2578.0)	(35.0, 4151.0)	(36.0, 8577.0)	(37.0, 14953.0)
532A0_S45_L001_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 35.0)	(13.0, 168.0)	(14.0, 150.0)	(15.0, 72.0)	(16.0, 59.0)	(17.0, 87.0)	(18.0, 122.0)	(19.0, 172.0)	(20.0, 227.0)	(21.0, 271.0)	(22.0, 352.0)	(23.0, 477.0)	(24.0, 604.0)	(25.0, 774.0)	(26.0, 1064.0)	(27.0, 1340.0)	(28.0, 1779.0)	(29.0, 2461.0)	(30.0, 3303.0)	(31.0, 4238.0)	(32.0, 5180.0)	(33.0, 6271.0)	(34.0, 5482.0)	(35.0, 2243.0)	(36.0, 170.0)	(37.0, 3.0)
532A14_S46_L001_R1_001	(2.0, 4.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 5.0)	(19.0, 16.0)	(20.0, 45.0)	(21.0, 99.0)	(22.0, 200.0)	(23.0, 232.0)	(24.0, 275.0)	(25.0, 333.0)	(26.0, 434.0)	(27.0, 571.0)	(28.0, 678.0)	(29.0, 910.0)	(30.0, 1074.0)	(31.0, 1480.0)	(32.0, 2016.0)	(33.0, 2689.0)	(34.0, 3986.0)	(35.0, 6112.0)	(36.0, 10957.0)	(37.0, 13135.0)
532A14_S46_L001_R2_001	(2.0, 4.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 4.0)	(12.0, 54.0)	(13.0, 225.0)	(14.0, 164.0)	(15.0, 89.0)	(16.0, 77.0)	(17.0, 104.0)	(18.0, 134.0)	(19.0, 203.0)	(20.0, 230.0)	(21.0, 318.0)	(22.0, 399.0)	(23.0, 536.0)	(24.0, 706.0)	(25.0, 958.0)	(26.0, 1243.0)	(27.0, 1698.0)	(28.0, 2358.0)	(29.0, 3232.0)	(30.0, 4324.0)	(31.0, 5639.0)	(32.0, 6802.0)	(33.0, 7222.0)	(34.0, 5845.0)	(35.0, 2485.0)	(36.0, 192.0)	(37.0, 8.0)
532B0_S47_L001_R1_001	(16.0, 1.0)	(17.0, 1.0)	(18.0, 2.0)	(19.0, 11.0)	(20.0, 20.0)	(21.0, 65.0)	(22.0, 143.0)	(23.0, 178.0)	(24.0, 211.0)	(25.0, 279.0)	(26.0, 359.0)	(27.0, 446.0)	(28.0, 531.0)	(29.0, 697.0)	(30.0, 978.0)	(31.0, 1196.0)	(32.0, 1625.0)	(33.0, 2285.0)	(34.0, 3358.0)	(35.0, 5606.0)	(36.0, 11708.0)	(37.0, 20067.0)														
532B0_S47_L001_R2_001	(11.0, 2.0)	(12.0, 54.0)	(13.0, 250.0)	(14.0, 171.0)	(15.0, 85.0)	(16.0, 85.0)	(17.0, 90.0)	(18.0, 143.0)	(19.0, 200.0)	(20.0, 250.0)	(21.0, 332.0)	(22.0, 440.0)	(23.0, 576.0)	(24.0, 754.0)	(25.0, 924.0)	(26.0, 1242.0)	(27.0, 1637.0)	(28.0, 2127.0)	(29.0, 2937.0)	(30.0, 4117.0)	(31.0, 5370.0)	(32.0, 6869.0)	(33.0, 8389.0)	(34.0, 8168.0)	(35.0, 4179.0)	(36.0, 375.0)	(37.0, 1.0)									
532B14_S48_L001_R1_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 3.0)	(19.0, 14.0)	(20.0, 31.0)	(21.0, 65.0)	(22.0, 142.0)	(23.0, 201.0)	(24.0, 262.0)	(25.0, 348.0)	(26.0, 390.0)	(27.0, 525.0)	(28.0, 709.0)	(29.0, 970.0)	(30.0, 1156.0)	(31.0, 1557.0)	(32.0, 2165.0)	(33.0, 2939.0)	(34.0, 4374.0)	(35.0, 6921.0)	(36.0, 14493.0)	(37.0, 25330.0)
532B14_S48_L001_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 7.0)	(12.0, 68.0)	(13.0, 272.0)	(14.0, 213.0)	(15.0, 124.0)	(16.0, 126.0)	(17.0, 165.0)	(18.0, 198.0)	(19.0, 326.0)	(20.0, 429.0)	(21.0, 508.0)	(22.0, 662.0)	(23.0, 835.0)	(24.0, 1057.0)	(25.0, 1345.0)	(26.0, 1747.0)	(27.0, 2238.0)	(28.0, 2895.0)	(29.0, 3660.0)	(30.0, 5150.0)	(31.0, 6696.0)	(32.0, 8520.0)	(33.0, 10352.0)	(34.0, 9807.0)	(35.0, 4757.0)	(36.0, 438.0)	(37.0, 1.0)
550A0_S65_L001_R1_001	(18.0, 3.0)	(19.0, 7.0)	(20.0, 17.0)	(21.0, 49.0)	(22.0, 84.0)	(23.0, 122.0)	(24.0, 112.0)	(25.0, 136.0)	(26.0, 184.0)	(27.0, 242.0)	(28.0, 264.0)	(29.0, 355.0)	(30.0, 475.0)	(31.0, 621.0)	(32.0, 882.0)	(33.0, 1180.0)	(34.0, 1721.0)	(35.0, 2856.0)	(36.0, 5690.0)	(37.0, 8808.0)																
550A0_S65_L001_R2_001	(11.0, 3.0)	(12.0, 44.0)	(13.0, 109.0)	(14.0, 80.0)	(15.0, 37.0)	(16.0, 56.0)	(17.0, 50.0)	(18.0, 60.0)	(19.0, 73.0)	(20.0, 105.0)	(21.0, 141.0)	(22.0, 180.0)	(23.0, 241.0)	(24.0, 315.0)	(25.0, 408.0)	(26.0, 572.0)	(27.0, 744.0)	(28.0, 1002.0)	(29.0, 1336.0)	(30.0, 1772.0)	(31.0, 2435.0)	(32.0, 3364.0)	(33.0, 4153.0)	(34.0, 4145.0)	(35.0, 2144.0)	(36.0, 234.0)	(37.0, 5.0)									
550A14_S66_L001_R1_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 2.0)	(20.0, 10.0)	(21.0, 36.0)	(22.0, 70.0)	(23.0, 68.0)	(24.0, 117.0)	(25.0, 143.0)	(26.0, 180.0)	(27.0, 216.0)	(28.0, 261.0)	(29.0, 329.0)	(30.0, 396.0)	(31.0, 563.0)	(32.0, 753.0)	(33.0, 1059.0)	(34.0, 1626.0)	(35.0, 2602.0)	(36.0, 5431.0)	(37.0, 10618.0)
550A14_S66_L001_R2_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 4.0)	(12.0, 25.0)	(13.0, 137.0)	(14.0, 69.0)	(15.0, 36.0)	(16.0, 48.0)	(17.0, 49.0)	(18.0, 90.0)	(19.0, 98.0)	(20.0, 126.0)	(21.0, 180.0)	(22.0, 215.0)	(23.0, 274.0)	(24.0, 356.0)	(25.0, 487.0)	(26.0, 618.0)	(27.0, 746.0)	(28.0, 1035.0)	(29.0, 1421.0)	(30.0, 1958.0)	(31.0, 2627.0)	(32.0, 3449.0)	(33.0, 4239.0)	(34.0, 4118.0)	(35.0, 1896.0)	(36.0, 176.0)	(37.0, 5.0)
550B0_S67_L001_R1_001	(13.0, 1.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 5.0)	(17.0, 6.0)	(18.0, 17.0)	(19.0, 22.0)	(20.0, 10.0)	(21.0, 31.0)	(22.0, 67.0)	(23.0, 106.0)	(24.0, 90.0)	(25.0, 123.0)	(26.0, 171.0)	(27.0, 178.0)	(28.0, 297.0)	(29.0, 342.0)	(30.0, 427.0)	(31.0, 563.0)	(32.0, 754.0)	(33.0, 1060.0)	(34.0, 1603.0)	(35.0, 2476.0)	(36.0, 5605.0)	(37.0, 11579.0)											
550B0_S67_L001_R2_001	(10.0, 1.0)	(11.0, 2.0)	(12.0, 45.0)	(13.0, 119.0)	(14.0, 92.0)	(15.0, 63.0)	(16.0, 32.0)	(17.0, 62.0)	(18.0, 88.0)	(19.0, 88.0)	(20.0, 137.0)	(21.0, 188.0)	(22.0, 223.0)	(23.0, 308.0)	(24.0, 358.0)	(25.0, 437.0)	(26.0, 662.0)	(27.0, 830.0)	(28.0, 1045.0)	(29.0, 1339.0)	(30.0, 1906.0)	(31.0, 2599.0)	(32.0, 3514.0)	(33.0, 4446.0)	(34.0, 4493.0)	(35.0, 2253.0)	(36.0, 200.0)	(37.0, 4.0)								
550B14_S68_L001_R1_001	(18.0, 3.0)	(19.0, 11.0)	(20.0, 14.0)	(21.0, 44.0)	(22.0, 70.0)	(23.0, 104.0)	(24.0, 101.0)	(25.0, 154.0)	(26.0, 189.0)	(27.0, 216.0)	(28.0, 268.0)	(29.0, 337.0)	(30.0, 401.0)	(31.0, 529.0)	(32.0, 715.0)	(33.0, 1019.0)	(34.0, 1564.0)	(35.0, 2593.0)	(36.0, 5471.0)	(37.0, 11116.0)																
550B14_S68_L001_R2_001	(11.0, 5.0)	(12.0, 32.0)	(13.0, 121.0)	(14.0, 75.0)	(15.0, 40.0)	(16.0, 53.0)	(17.0, 55.0)	(18.0, 90.0)	(19.0, 129.0)	(20.0, 143.0)	(21.0, 204.0)	(22.0, 234.0)	(23.0, 307.0)	(24.0, 394.0)	(25.0, 530.0)	(26.0, 617.0)	(27.0, 779.0)	(28.0, 1087.0)	(29.0, 1392.0)	(30.0, 1882.0)	(31.0, 2613.0)	(32.0, 3508.0)	(33.0, 4354.0)	(34.0, 4196.0)	(35.0, 1915.0)	(36.0, 159.0)	(37.0, 5.0)									
551A0_S73_L001_R1_001	(15.0, 1.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 8.0)	(20.0, 24.0)	(21.0, 36.0)	(22.0, 97.0)	(23.0, 121.0)	(24.0, 149.0)	(25.0, 159.0)	(26.0, 207.0)	(27.0, 258.0)	(28.0, 353.0)	(29.0, 397.0)	(30.0, 551.0)	(31.0, 719.0)	(32.0, 941.0)	(33.0, 1402.0)	(34.0, 2031.0)	(35.0, 3273.0)	(36.0, 6915.0)	(37.0, 11688.0)													
551A0_S73_L001_R2_001	(11.0, 2.0)	(12.0, 28.0)	(13.0, 130.0)	(14.0, 77.0)	(15.0, 40.0)	(16.0, 46.0)	(17.0, 68.0)	(18.0, 68.0)	(19.0, 118.0)	(20.0, 164.0)	(21.0, 201.0)	(22.0, 271.0)	(23.0, 312.0)	(24.0, 458.0)	(25.0, 604.0)	(26.0, 790.0)	(27.0, 1022.0)	(28.0, 1314.0)	(29.0, 1798.0)	(30.0, 2411.0)	(31.0, 3235.0)	(32.0, 4188.0)	(33.0, 4906.0)	(34.0, 4732.0)	(35.0, 2144.0)	(36.0, 202.0)	(37.0, 2.0)									
