Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
508A14_S10_L001_R1_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 4.0)	(19.0, 17.0)	(20.0, 17.0)	(21.0, 43.0)	(22.0, 76.0)	(23.0, 131.0)	(24.0, 141.0)	(25.0, 185.0)	(26.0, 240.0)	(27.0, 290.0)	(28.0, 330.0)	(29.0, 454.0)	(30.0, 559.0)	(31.0, 759.0)	(32.0, 1036.0)	(33.0, 1434.0)	(34.0, 2205.0)	(35.0, 3676.0)	(36.0, 7999.0)	(37.0, 17869.0)
508A14_S10_L001_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 1.0)	(11.0, 2.0)	(12.0, 53.0)	(13.0, 171.0)	(14.0, 132.0)	(15.0, 75.0)	(16.0, 62.0)	(17.0, 68.0)	(18.0, 92.0)	(19.0, 126.0)	(20.0, 175.0)	(21.0, 231.0)	(22.0, 257.0)	(23.0, 357.0)	(24.0, 472.0)	(25.0, 581.0)	(26.0, 760.0)	(27.0, 992.0)	(28.0, 1309.0)	(29.0, 1834.0)	(30.0, 2468.0)	(31.0, 3524.0)	(32.0, 5035.0)	(33.0, 6698.0)	(34.0, 7322.0)	(35.0, 4195.0)	(36.0, 473.0)	(37.0, 2.0)
508B0_S11_L001_R1_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 2.0)	(19.0, 12.0)	(20.0, 15.0)	(21.0, 20.0)	(22.0, 39.0)	(23.0, 84.0)	(24.0, 95.0)	(25.0, 124.0)	(26.0, 143.0)	(27.0, 218.0)	(28.0, 278.0)	(29.0, 336.0)	(30.0, 403.0)	(31.0, 574.0)	(32.0, 796.0)	(33.0, 1081.0)	(34.0, 1513.0)	(35.0, 2546.0)	(36.0, 5643.0)	(37.0, 12371.0)
508B0_S11_L001_R2_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 1.0)	(11.0, 3.0)	(12.0, 42.0)	(13.0, 129.0)	(14.0, 98.0)	(15.0, 42.0)	(16.0, 41.0)	(17.0, 60.0)	(18.0, 72.0)	(19.0, 105.0)	(20.0, 152.0)	(21.0, 184.0)	(22.0, 241.0)	(23.0, 335.0)	(24.0, 384.0)	(25.0, 503.0)	(26.0, 662.0)	(27.0, 831.0)	(28.0, 1113.0)	(29.0, 1561.0)	(30.0, 2010.0)	(31.0, 2731.0)	(32.0, 3721.0)	(33.0, 4724.0)	(34.0, 4328.0)	(35.0, 2054.0)	(36.0, 165.0)	(37.0, 2.0)
508B14_S12_L001_R1_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 4.0)	(19.0, 9.0)	(20.0, 16.0)	(21.0, 36.0)	(22.0, 83.0)	(23.0, 110.0)	(24.0, 125.0)	(25.0, 152.0)	(26.0, 160.0)	(27.0, 218.0)	(28.0, 257.0)	(29.0, 356.0)	(30.0, 433.0)	(31.0, 535.0)	(32.0, 713.0)	(33.0, 1072.0)	(34.0, 1599.0)	(35.0, 2662.0)	(36.0, 5785.0)	(37.0, 11906.0)
508B14_S12_L001_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 4.0)	(12.0, 47.0)	(13.0, 149.0)	(14.0, 107.0)	(15.0, 60.0)	(16.0, 52.0)	(17.0, 61.0)	(18.0, 93.0)	(19.0, 112.0)	(20.0, 150.0)	(21.0, 199.0)	(22.0, 227.0)	(23.0, 340.0)	(24.0, 399.0)	(25.0, 495.0)	(26.0, 643.0)	(27.0, 938.0)	(28.0, 1174.0)	(29.0, 1612.0)	(30.0, 2120.0)	(31.0, 2856.0)	(32.0, 3896.0)	(33.0, 4604.0)	(34.0, 4086.0)	(35.0, 1673.0)	(36.0, 134.0)	(37.0, 1.0)
519A0_S33_L001_R1_001	(18.0, 4.0)	(19.0, 3.0)	(20.0, 14.0)	(21.0, 32.0)	(22.0, 84.0)	(23.0, 97.0)	(24.0, 124.0)	(25.0, 140.0)	(26.0, 166.0)	(27.0, 213.0)	(28.0, 252.0)	(29.0, 315.0)	(30.0, 393.0)	(31.0, 559.0)	(32.0, 743.0)	(33.0, 1038.0)	(34.0, 1553.0)	(35.0, 2665.0)	(36.0, 5483.0)	(37.0, 12480.0)																
519A0_S33_L001_R2_001	(11.0, 4.0)	(12.0, 34.0)	(13.0, 129.0)	(14.0, 87.0)	(15.0, 34.0)	(16.0, 32.0)	(17.0, 43.0)	(18.0, 62.0)	(19.0, 77.0)	(20.0, 112.0)	(21.0, 142.0)	(22.0, 185.0)	(23.0, 252.0)	(24.0, 308.0)	(25.0, 448.0)	(26.0, 550.0)	(27.0, 721.0)	(28.0, 1007.0)	(29.0, 1377.0)	(30.0, 1871.0)	(31.0, 2543.0)	(32.0, 3427.0)	(33.0, 4631.0)	(34.0, 5104.0)	(35.0, 2844.0)	(36.0, 331.0)	(37.0, 3.0)									
519A14_S34_L001_R1_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 3.0)	(19.0, 17.0)	(20.0, 19.0)	(21.0, 36.0)	(22.0, 80.0)	(23.0, 119.0)	(24.0, 155.0)	(25.0, 190.0)	(26.0, 214.0)	(27.0, 273.0)	(28.0, 365.0)	(29.0, 417.0)	(30.0, 585.0)	(31.0, 739.0)	(32.0, 1103.0)	(33.0, 1438.0)	(34.0, 2140.0)	(35.0, 3521.0)	(36.0, 7362.0)	(37.0, 14279.0)
519A14_S34_L001_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 48.0)	(13.0, 165.0)	(14.0, 107.0)	(15.0, 44.0)	(16.0, 41.0)	(17.0, 41.0)	(18.0, 61.0)	(19.0, 81.0)	(20.0, 115.0)	(21.0, 162.0)	(22.0, 235.0)	(23.0, 254.0)	(24.0, 328.0)	(25.0, 483.0)	(26.0, 640.0)	(27.0, 881.0)	(28.0, 1204.0)	(29.0, 1741.0)	(30.0, 2222.0)	(31.0, 3158.0)	(32.0, 4508.0)	(33.0, 5702.0)	(34.0, 6459.0)	(35.0, 3925.0)	(36.0, 447.0)	(37.0, 3.0)
