Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
508B0_S11_L001_R1_001	(1.0, 5.358229388500152)	(2.0, 1.7645269242470336)	(3.0, 0.9697292363857621)	(4.0, 0.5780346820809248)	(5.0, 0.589443261332522)	(6.0, 0.5476118040766657)	(7.0, 0.47916032856708246)	(8.0, 0.39549741405536964)	(9.0, 0.6160632795862488)	('>10', 10.115606936416185)	('>50', 6.6664131426832975)	('>100', 19.36416184971098)	('>500', 5.415272284758138)	('>1k', 47.14024946759964)	('>5k', 0.0)	('>10k+', 0.0)
508B0_S11_L001_R2_001	(1.0, 7.898539701855796)	(2.0, 1.7645269242470336)	(3.0, 1.0153635533921508)	(4.0, 0.7909948281107393)	(5.0, 0.6274718588378461)	(6.0, 0.4335260115606936)	(7.0, 0.21296014602981442)	(8.0, 0.152114390021296)	(9.0, 0.23958016428354123)	('>10', 4.544417401886219)	('>50', 3.6621539397627014)	('>100', 9.735320961362945)	('>500', 11.237450562823243)	('>1k', 57.68557955582598)	('>5k', 0.0)	('>10k+', 0.0)
508B14_S12_L001_R1_001	(1.0, 6.354591545000572)	(2.0, 2.172835741241947)	(3.0, 1.2579575344032325)	(4.0, 0.8386383562688218)	(5.0, 0.952998132123661)	(6.0, 0.5717988792741966)	(7.0, 0.5069950062897877)	(8.0, 0.7623985056989289)	(9.0, 0.5832348568596806)	('>10', 10.563031296458659)	('>50', 5.72942477032745)	('>100', 28.262112606259294)	('>500', 14.550375481264059)	('>1k', 26.893607288529715)	('>5k', 0.0)	('>10k+', 0.0)
508B14_S12_L001_R2_001	(1.0, 9.049670262646286)	(2.0, 1.7992604734494722)	(3.0, 1.0864178706209735)	(4.0, 0.5489269241032287)	(5.0, 0.343079327564518)	(6.0, 0.5260549689322609)	(7.0, 0.18678763389623756)	(8.0, 0.396447222963443)	(9.0, 0.034307932756451796)	('>10', 3.2706895894484047)	('>50', 3.739564670453246)	('>100', 17.439865817862994)	('>500', 21.926581023901193)	('>1k', 39.65234628140129)	('>5k', 0.0)	('>10k+', 0.0)
519A0_S33_L001_R1_001	(1.0, 6.646938310949238)	(2.0, 2.208058274527658)	(3.0, 1.1723195993626223)	(4.0, 1.0926473935806966)	(5.0, 0.89156992184536)	(6.0, 0.6146141588891418)	(7.0, 0.8763942636011837)	(8.0, 0.6980802792321117)	(9.0, 0.6487593899385385)	('>10', 14.587601487214508)	('>50', 5.668108354199863)	('>100', 22.459974201380987)	('>500', 26.24630093330298)	('>1k', 16.18863343197511)	('>5k', 0.0)	('>10k+', 0.0)
519A0_S33_L001_R2_001	(1.0, 7.804082252067683)	(2.0, 1.6769102359814856)	(3.0, 1.1950830867288869)	(4.0, 0.6373776462554063)	(5.0, 0.3604218832991881)	(6.0, 0.4325062599590257)	(7.0, 0.23901661734577737)	(8.0, 0.2124592154184688)	(9.0, 0.2048713862963806)	('>10', 4.234008650125199)	('>50', 2.8074967751726234)	('>100', 12.59200242810532)	('>500', 16.609757948251005)	('>1k', 50.994005614993554)	('>5k', 0.0)	('>10k+', 0.0)
519A14_S34_L001_R1_001	(1.0, 5.650845509271864)	(2.0, 1.7303445563723268)	(3.0, 0.9619747708503493)	(4.0, 0.834921499228605)	(5.0, 0.8167710318540702)	(6.0, 0.5989654233596515)	(7.0, 0.508213086486977)	(8.0, 0.5808149559851167)	(9.0, 0.4628369180506398)	('>10', 10.185437275009832)	('>50', 4.7796230752941895)	('>100', 24.288350425023445)	('>500', 8.439967329158726)	('>1k', 40.16093414405421)	('>5k', 0.0)	('>10k+', 0.0)
519A14_S34_L001_R2_001	(1.0, 7.148259067670992)	(2.0, 1.5004386362948847)	(3.0, 1.0890280424720935)	(4.0, 0.6413165139002329)	(5.0, 0.4083855159270351)	(6.0, 0.2541065432434885)	(7.0, 0.38115981486523276)	(8.0, 0.14520373899627917)	(9.0, 0.3267084127416281)	('>10', 1.66984299845721)	('>50', 1.7363947121638381)	('>100', 10.179387119218319)	('>500', 12.669026227425356)	('>1k', 61.8507426566234)	('>5k', 0.0)	('>10k+', 0.0)
519B0_S35_L001_R1_001	(1.0, 6.9359605911330044)	(2.0, 2.2541871921182266)	(3.0, 1.3241379310344827)	(4.0, 0.961576354679803)	(5.0, 0.8275862068965517)	(6.0, 0.638423645320197)	(7.0, 0.7448275862068966)	(8.0, 0.34679802955665023)	(9.0, 0.780295566502463)	('>10', 11.688669950738916)	('>50', 6.549753694581281)	('>100', 24.11822660098522)	('>500', 26.857142857142858)	('>1k', 15.972413793103449)	('>5k', 0.0)	('>10k+', 0.0)
519B0_S35_L001_R2_001	(1.0, 8.52807881773399)	(2.0, 1.7261083743842367)	(3.0, 1.2650246305418718)	(4.0, 0.6620689655172414)	(5.0, 0.5517241379310345)	(6.0, 0.37832512315270933)	(7.0, 0.27586206896551724)	(8.0, 0.34679802955665023)	(9.0, 0.3192118226600985)	('>10', 2.5891625615763547)	('>50', 3.6216748768472904)	('>100', 12.161576354679802)	('>500', 23.574384236453202)	('>1k', 44.0)	('>5k', 0.0)	('>10k+', 0.0)
519B14_S36_L001_R1_001	(1.0, 6.1718957724009575)	(2.0, 1.8279712842329168)	(3.0, 1.2164318000531773)	(4.0, 0.9173092262696091)	(5.0, 0.7311885136931667)	(6.0, 0.5982451475671364)	(7.0, 0.4420366923690508)	(8.0, 0.5583621377293273)	(9.0, 0.38885934591863863)	('>10', 10.126960914650358)	('>50', 8.225870779048124)	('>100', 21.144642382345122)	('>500', 15.75046530178144)	('>1k', 31.89976070194097)	('>5k', 0.0)	('>10k+', 0.0)
519B14_S36_L001_R2_001	(1.0, 7.650890720553044)	(2.0, 1.6418505716564744)	(3.0, 1.056899760701941)	(4.0, 0.6514224940175485)	(5.0, 0.5816272268013827)	(6.0, 0.5384206328104227)	(7.0, 0.27918106886466365)	(8.0, 0.21270938580164853)	(9.0, 0.08973677213507046)	('>10', 1.8479127891518214)	('>50', 3.346849242222813)	('>100', 9.877692103164053)	('>500', 10.781706992821057)	('>1k', 61.443100239298055)	('>5k', 0.0)	('>10k+', 0.0)
521A0_S25_L001_R1_001	(1.0, 5.081234325591538)	(2.0, 1.7300912296005524)	(3.0, 0.9050267146439864)	(4.0, 0.7705448333515066)	(5.0, 0.5451968160505942)	(6.0, 0.4361574528404754)	(7.0, 0.5851779158943045)	(8.0, 0.5815432704539671)	(9.0, 0.3598298985933922)	('>10', 6.269763384581833)	('>50', 7.436484570930106)	('>100', 22.23676080398357)	('>500', 11.510922109548213)	('>1k', 41.551266673935956)	('>5k', 0.0)	('>10k+', 0.0)
521A0_S25_L001_R2_001	(1.0, 8.079816813869806)	(2.0, 1.722821938719878)	(3.0, 1.035873950496129)	(4.0, 0.5670046886926181)	(5.0, 0.4543306800421619)	(6.0, 0.23988659906226148)	(7.0, 0.20354014465888853)	(8.0, 0.11630865409079344)	(9.0, 0.09813542688910697)	('>10', 1.6610329662341439)	('>50', 2.289826627412496)	('>100', 14.331406971249955)	('>500', 19.43081452404318)	('>1k', 49.76920001453858)	('>5k', 0.0)	('>10k+', 0.0)
521A14_S26_L001_R1_001	(1.0, 5.2101793435882895)	(2.0, 1.6729283334514782)	(3.0, 1.222797192882966)	(4.0, 0.9073509605160559)	(5.0, 0.5316509534273764)	(6.0, 0.6592471822499468)	(7.0, 0.5458283121854398)	(8.0, 0.3969660452257744)	(9.0, 0.41468774367335365)	('>10', 7.021336924930885)	('>50', 5.433472744027788)	('>100', 22.666052314453815)	('>500', 16.201176720776918)	('>1k', 37.11632522860991)	('>5k', 0.0)	('>10k+', 0.0)
521A14_S26_L001_R2_001	(1.0, 7.9074218473098465)	(2.0, 1.8359679591692066)	(3.0, 0.8293754873467073)	(4.0, 0.6379811441128518)	(5.0, 0.37215566739916356)	(6.0, 0.3189905720564259)	(7.0, 0.24810377826610902)	(8.0, 0.11341887006450699)	(9.0, 0.12759622882257035)	('>10', 1.5205217268022966)	('>50', 3.6081378039271286)	('>100', 13.907988941660168)	('>500', 12.305947401999008)	('>1k', 56.266392571064)	('>5k', 0.0)	('>10k+', 0.0)
521B0_S27_L001_R1_001	(1.0, 4.87114603449424)	(2.0, 1.5116201638143436)	(3.0, 1.0987547446227608)	(4.0, 0.7857761203968836)	(5.0, 0.665911966438037)	(6.0, 0.5793434108010921)	(7.0, 0.34960378237996936)	(8.0, 0.5060930944929081)	(9.0, 0.38955850036625156)	('>10', 6.349470599986681)	('>50', 7.751215289338749)	('>100', 18.732103615901977)	('>500', 1.9544516214956384)	('>1k', 54.45495105547047)	('>5k', 0.0)	('>10k+', 0.0)
521B0_S27_L001_R2_001	(1.0, 9.832190184457614)	(2.0, 2.044349736964773)	(3.0, 1.1187321036159021)	(4.0, 0.7458214024106014)	(5.0, 0.5826729706332823)	(6.0, 0.3595924618765399)	(7.0, 0.4661383765066258)	(8.0, 0.29300126523273623)	(9.0, 0.23972830791769328)	('>10', 1.4716654458280616)	('>50', 2.6836252247452888)	('>100', 9.239528534327762)	('>500', 16.850902310714524)	('>1k', 54.072051674768595)	('>5k', 0.0)	('>10k+', 0.0)
521B14_S28_L001_R1_001	(1.0, 4.960423933458546)	(2.0, 1.7708612825328682)	(3.0, 1.0061711832573115)	(4.0, 0.7512744834987926)	(5.0, 0.45277703246579015)	(6.0, 0.44271532063321706)	(7.0, 0.5399785350147571)	(8.0, 0.45613093640998126)	(9.0, 0.24148108398175475)	('>10', 6.281862087469816)	('>50', 7.120338073517575)	('>100', 21.18661121545479)	('>500', 6.966058492084787)	('>1k', 47.82331634022002)	('>5k', 0.0)	('>10k+', 0.0)
521B14_S28_L001_R2_001	(1.0, 8.264019318486719)	(2.0, 1.8379393614166892)	(3.0, 1.0967265897504697)	(4.0, 0.6707807888382077)	(5.0, 0.33539039441910384)	(6.0, 0.34209820230748594)	(7.0, 0.16434129326536087)	(8.0, 0.18781862087469814)	(9.0, 0.12074054199087737)	('>10', 1.676951972095519)	('>50', 1.9419103836866112)	('>100', 13.56654145425275)	('>500', 21.974778642339686)	('>1k', 47.81996243627582)	('>5k', 0.0)	('>10k+', 0.0)
