Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
532B0_S47_L001_R1_001	(1.0, 4.7702292683907)	(2.0, 1.6436594530512185)	(3.0, 1.2056181807221653)	(4.0, 0.7715956356621858)	(5.0, 0.5425281813249744)	(6.0, 0.5063596359033095)	(7.0, 0.4922940904615508)	(8.0, 0.5786967267466393)	(9.0, 0.34360118150581714)	('>10', 8.053529447224065)	('>50', 4.434665541423032)	('>100', 19.619426527618703)	('>500', 10.854582353768562)	('>1k', 35.43512769505897)	('>5k', 10.748086081138103)	('>10k+', 0.0)
532B0_S47_L001_R2_001	(1.0, 7.304036811541785)	(2.0, 1.5793598167460363)	(3.0, 0.868045090119959)	(4.0, 0.6188839994373782)	(5.0, 0.4420599995981273)	(6.0, 0.3737416360238712)	(7.0, 0.3516386360439649)	(8.0, 0.2571985452207286)	(9.0, 0.1627584543974923)	('>10', 2.3469367251391486)	('>50', 1.8727269073884298)	('>100', 13.874655896477586)	('>500', 8.531757992243856)	('>1k', 61.41619948962164)	('>5k', 0.0)	('>10k+', 0.0)
532B14_S48_L001_R1_001	(1.0, 4.342061121139991)	(2.0, 1.5591801524034699)	(3.0, 0.8674537118392256)	(4.0, 0.7476396632426474)	(5.0, 0.48724379762608433)	(6.0, 0.4409156988354075)	(7.0, 0.4249404923558637)	(8.0, 0.34506445995814494)	(9.0, 0.3594421457897343)	('>10', 6.746329696311324)	('>50', 4.533763598894516)	('>100', 16.916146141188875)	('>500', 8.577088358867039)	('>1k', 32.680479895202645)	('>5k', 20.97225106634503)	('>10k+', 0.0)
532B14_S48_L001_R2_001	(1.0, 7.310254485039219)	(2.0, 1.6646165151684587)	(3.0, 1.0735338754253398)	(4.0, 0.7348594980590124)	(5.0, 0.5591322267840312)	(6.0, 0.4696710704985862)	(7.0, 0.35784462514177995)	(8.0, 0.30672396440724)	(9.0, 0.17253222997907247)	('>10', 1.6294710609134622)	('>50', 1.3099669313225875)	('>100', 8.997236289279039)	('>500', 4.525775995654744)	('>1k', 61.570043292809565)	('>5k', 9.318337939517868)	('>10k+', 0.0)
550A0_S65_L001_R1_001	(1.0, 6.460013440860216)	(2.0, 2.1505376344086025)	(3.0, 1.1214717741935485)	(4.0, 1.0416666666666665)	(5.0, 0.8820564516129034)	(6.0, 0.7056451612903225)	(7.0, 0.47043010752688175)	(8.0, 0.4032258064516129)	(9.0, 0.41582661290322576)	('>10', 10.987903225806452)	('>50', 6.195396505376344)	('>100', 20.988743279569892)	('>500', 29.56149193548387)	('>1k', 18.615591397849464)	('>5k', 0.0)	('>10k+', 0.0)
550A0_S65_L001_R2_001	(1.0, 8.513944892473118)	(2.0, 1.8565188172043012)	(3.0, 0.9576612903225806)	(4.0, 0.6888440860215054)	(5.0, 0.35702284946236557)	(6.0, 0.22681451612903228)	(7.0, 0.23521505376344087)	(8.0, 0.03360215053763441)	(9.0, 0.15120967741935484)	('>10', 3.5030241935483866)	('>50', 1.9573252688172043)	('>100', 17.737735215053764)	('>500', 36.21051747311828)	('>1k', 27.570564516129032)	('>5k', 0.0)	('>10k+', 0.0)
550A14_S66_L001_R1_001	(1.0, 6.547132821434406)	(2.0, 2.009475575886293)	(3.0, 1.2988073844143113)	(4.0, 1.0455807874530305)	(5.0, 0.6330664924032021)	(6.0, 0.7106681914719817)	(7.0, 0.8577029897075641)	(8.0, 0.6861623917660513)	(9.0, 0.4043456951478517)	('>10', 10.8805750694331)	('>50', 6.269400424767195)	('>100', 26.952295376572454)	('>500', 24.277078908675055)	('>1k', 17.427707890867506)	('>5k', 0.0)	('>10k+', 0.0)
550A14_S66_L001_R2_001	(1.0, 9.005881391929424)	(2.0, 1.8951151772586179)	(3.0, 1.016990687796112)	(4.0, 0.5718019931383761)	(5.0, 0.42885149485378204)	(6.0, 0.26956379676523445)	(7.0, 0.1143603986276752)	(8.0, 0.09802319882372161)	(9.0, 0.1470347982355824)	('>10', 3.835157653978108)	('>50', 1.6500571801993138)	('>100', 19.906877961117463)	('>500', 32.72341120731907)	('>1k', 28.336873059957522)	('>5k', 0.0)	('>10k+', 0.0)
550B0_S67_L001_R1_001	(1.0, 6.332732826819143)	(2.0, 2.0286676588078643)	(3.0, 1.127907887522519)	(4.0, 0.7989347536617843)	(5.0, 0.7245241638599514)	(6.0, 0.9164251586120467)	(7.0, 0.7127751233649252)	(8.0, 0.501292394454453)	(9.0, 0.4582125793060233)	('>10', 10.926607660374403)	('>50', 9.46972663899115)	('>100', 19.135270619566068)	('>500', 10.319573901464715)	('>1k', 36.54734863319496)	('>5k', 0.0)	('>10k+', 0.0)
550B0_S67_L001_R2_001	(1.0, 8.651210151170988)	(2.0, 1.981671496827759)	(3.0, 0.9164251586120467)	(4.0, 0.5482885564345579)	(5.0, 0.5091250881178037)	(6.0, 0.2114827289104723)	(7.0, 0.16448656693036737)	(8.0, 0.2506461972272265)	(9.0, 0.14098848594031488)	('>10', 3.4933813738544686)	('>50', 1.8915955196992247)	('>100', 13.170674394924415)	('>500', 23.075115532231536)	('>1k', 44.99490874911882)	('>5k', 0.0)	('>10k+', 0.0)
550B14_S68_L001_R1_001	(1.0, 6.866246639110719)	(2.0, 2.078735101729604)	(3.0, 1.6011878486295599)	(4.0, 1.1396926040370803)	(5.0, 0.9029254785505036)	(6.0, 0.7704964083630964)	(7.0, 0.7022753722059473)	(8.0, 0.5778723062723223)	(9.0, 0.6139893254143425)	('>10', 10.000401300212689)	('>50', 7.733055098519202)	('>100', 29.32701954332036)	('>500', 20.699064970504434)	('>1k', 16.98703800313014)	('>5k', 0.0)	('>10k+', 0.0)
550B14_S68_L001_R2_001	(1.0, 9.025241783378144)	(2.0, 1.8459809783699186)	(3.0, 0.85476945302781)	(4.0, 0.6902363658252739)	(5.0, 0.5417552871303022)	(6.0, 0.28893615313616117)	(7.0, 0.11236405955295156)	(8.0, 0.3210401701512902)	(9.0, 0.252819133994141)	('>10', 2.8211404952044625)	('>50', 3.9126770737188488)	('>100', 17.223805128616718)	('>500', 27.749909707452147)	('>1k', 34.359324210441834)	('>5k', 0.0)	('>10k+', 0.0)
551A0_S73_L001_R1_001	(1.0, 5.952746241178276)	(2.0, 1.8956053322423374)	(3.0, 1.22737035900583)	(4.0, 0.968258838771266)	(5.0, 0.9887150114213631)	(6.0, 0.6545975248031094)	(7.0, 0.8830247860625277)	(8.0, 0.6818724216699056)	(9.0, 0.5523166615526235)	('>10', 7.333537895059834)	('>50', 8.826838498516928)	('>100', 25.280420033411747)	('>500', 14.718216221744912)	('>1k', 30.036480174559337)	('>5k', 0.0)	('>10k+', 0.0)
551A0_S73_L001_R2_001	(1.0, 8.209743956905664)	(2.0, 1.7660495721250553)	(3.0, 0.9921243735297127)	(4.0, 0.5727728342027206)	(5.0, 0.46026388462718626)	(6.0, 0.34775493505165184)	(7.0, 0.33411748661825375)	(8.0, 0.21819917493436977)	(9.0, 0.09205277692543726)	('>10', 2.2638164399440863)	('>50', 2.7752207561965156)	('>100', 20.452763287988816)	('>500', 15.444410350823363)	('>1k', 46.07071017012717)	('>5k', 0.0)	('>10k+', 0.0)
551A14_S74_L001_R1_001	(1.0, 5.7984353428439945)	(2.0, 1.89994083229242)	(3.0, 1.2030767207941622)	(4.0, 0.802051147196108)	(5.0, 0.6902899217671422)	(6.0, 0.5719545066070607)	(7.0, 0.5522319374137138)	(8.0, 0.5522319374137138)	(9.0, 0.2958385379002038)	('>10', 8.434685425021366)	('>50', 8.753533626980476)	('>100', 19.324830714614425)	('>500', 15.465781342449544)	('>1k', 35.65511800670567)	('>5k', 0.0)	('>10k+', 0.0)
551A14_S74_L001_R2_001	(1.0, 8.990204457300639)	(2.0, 1.6238248635855632)	(3.0, 1.0354348826507134)	(4.0, 0.6574189731115639)	(5.0, 0.4108868581947275)	(6.0, 0.2958385379002038)	(7.0, 0.32213529682466635)	(8.0, 0.18407731247123793)	(9.0, 0.20708697653014269)	('>10', 2.5869436591940045)	('>50', 4.28308460982184)	('>100', 18.634540792847282)	('>500', 15.534810334626256)	('>1k', 45.23371244494116)	('>5k', 0.0)	('>10k+', 0.0)
551B0_S75_L001_R1_001	(1.0, 4.666867982540424)	(2.0, 1.7185055041590027)	(3.0, 0.9718066269525353)	(4.0, 0.6259093529524803)	(5.0, 0.49413896285722125)	(6.0, 0.5435528591429434)	(7.0, 0.2690312131111538)	(8.0, 0.2855025118730612)	(9.0, 0.32119032585719387)	('>10', 7.346199247810691)	('>50', 5.721031103302495)	('>100', 17.168583742828122)	('>500', 5.473961621873884)	('>1k', 38.58676256622835)	('>5k', 15.806956378510446)	('>10k+', 0.0)
551B0_S75_L001_R2_001	(1.0, 7.241881022318609)	(2.0, 1.6196777115875587)	(3.0, 1.0953413676668406)	(4.0, 0.6808136821588383)	(5.0, 0.4255085513492739)	(6.0, 0.3458972740000549)	(7.0, 0.211381667444478)	(8.0, 0.17569385346034536)	(9.0, 0.19765558514288853)	('>10', 2.671095615889313)	('>50', 2.459713948444835)	('>100', 7.667389573667884)	('>500', 12.037774178493974)	('>1k', 63.170175968375105)	('>5k', 0.0)	('>10k+', 0.0)
551B14_S76_L001_R1_001	(1.0, 3.8676096445160235)	(2.0, 1.3817893238101908)	(3.0, 0.840277291506197)	(4.0, 0.5975305184044067)	(5.0, 0.4668207175034428)	(6.0, 0.2660878089769624)	(7.0, 0.37579067759027146)	(8.0, 0.3361109166024788)	(9.0, 0.3991317134654436)	('>10', 6.535490045048199)	('>50', 3.295754265574306)	('>100', 11.542142240272623)	('>500', 11.255047499008006)	('>1k', 44.00718903904956)	('>5k', 14.833228298671894)	('>10k+', 0.0)
551B14_S76_L001_R2_001	(1.0, 7.077002077352193)	(2.0, 1.7272366547627385)	(3.0, 1.0083327498074364)	(4.0, 0.7562495623555774)	(5.0, 0.5368438251289592)	(6.0, 0.36412015965268535)	(7.0, 0.24508087668930748)	(8.0, 0.1680554583012394)	(9.0, 0.18906239058889435)	('>10', 2.1870550615036297)	('>50', 1.4097985668603974)	('>100', 5.254067175501249)	('>500', 7.912611161683356)	('>1k', 71.16448427981233)	('>5k', 0.0)	('>10k+', 0.0)
554A0_S69_L001_R1_001	(1.0, 7.548641703377386)	(2.0, 2.340308370044053)	(3.0, 1.2940528634361232)	(4.0, 1.1013215859030838)	(5.0, 1.032488986784141)	(6.0, 0.6607929515418502)	(7.0, 0.8351688693098386)	(8.0, 0.7709251101321586)	(9.0, 0.7020925110132159)	('>10', 10.357011747430251)	('>50', 7.915748898678414)	('>100', 36.715308370044056)	('>500', 14.88619676945668)	('>1k', 13.83994126284875)	('>5k', 0.0)	('>10k+', 0.0)
554A0_S69_L001_R2_001	(1.0, 9.742107195301028)	(2.0, 1.9364904552129223)	(3.0, 0.908590308370044)	(4.0, 0.6424375917767988)	(5.0, 0.39005139500734215)	(6.0, 0.3854625550660793)	(7.0, 0.25697503671071953)	(8.0, 0.14684287812041116)	(9.0, 0.08259911894273128)	('>10', 6.516152716593246)	('>50', 6.566629955947137)	('>100', 23.260829662261383)	('>500', 28.037812041116005)	('>1k', 21.127019089574155)	('>5k', 0.0)	('>10k+', 0.0)
554A14_S70_L001_R1_001	(1.0, 6.9989658738366085)	(2.0, 2.0103412616339194)	(3.0, 1.4270941054808686)	(4.0, 0.9431230610134437)	(5.0, 1.0754912099276113)	(6.0, 0.7942088934850051)	(7.0, 0.7238883143743536)	(8.0, 0.5956566701137539)	(9.0, 0.7445708376421923)	('>10', 7.98345398138573)	('>50', 7.143743536711479)	('>100', 38.03516028955533)	('>500', 15.731127197518097)	('>1k', 15.793174767321613)	('>5k', 0.0)	('>10k+', 0.0)
554A14_S70_L001_R2_001	(1.0, 9.170630816959669)	(2.0, 1.9607032057911065)	(3.0, 1.0299896587383661)	(4.0, 0.3640124095139607)	(5.0, 0.3516028955532575)	(6.0, 0.29782833505687695)	(7.0, 0.3185108583247156)	(8.0, 0.13236814891416754)	(9.0, 0.03722854188210962)	('>10', 3.321613236814892)	('>50', 2.72182006204757)	('>100', 33.88210961737332)	('>500', 36.430196483971045)	('>1k', 9.981385729058944)	('>5k', 0.0)	('>10k+', 0.0)
554B0_S71_L001_R1_001	(1.0, 6.76833879505924)	(2.0, 2.1510797411982185)	(3.0, 1.4998739601714142)	(4.0, 1.2435929753802202)	(5.0, 0.9032854381984707)	(6.0, 0.7814469372321654)	(7.0, 0.5293672800604992)	(8.0, 0.4705486933871103)	(9.0, 0.5293672800604992)	('>10', 9.032854381984707)	('>50', 9.200907486765818)	('>100', 31.215864213091336)	('>500', 22.16620452062852)	('>1k', 13.507268296781783)	('>5k', 0.0)	('>10k+', 0.0)
554B0_S71_L001_R2_001	(1.0, 9.175699521048651)	(2.0, 1.848584152592219)	(3.0, 0.9957146458280817)	(4.0, 0.8570708343836652)	(5.0, 0.5041593143433325)	(6.0, 0.20166372573733302)	(7.0, 0.3235022267036384)	(8.0, 0.23527434669355515)	(9.0, 0.11343584572724981)	('>10', 3.6047390975548272)	('>50', 4.7012856062515755)	('>100', 23.63246785984371)	('>500', 24.359297538022016)	('>1k', 29.447105285270148)	('>5k', 0.0)	('>10k+', 0.0)
554B14_S72_L001_R1_001	(1.0, 6.80707331611365)	(2.0, 2.2253129346314324)	(3.0, 1.2040532485595072)	(4.0, 0.9854957281939201)	(5.0, 0.735148023047884)	(6.0, 0.73912179614544)	(7.0, 0.8344923504867872)	(8.0, 0.9219153586330221)	(9.0, 0.5722233260480827)	('>10', 9.84700973574409)	('>50', 6.894496324259884)	('>100', 28.162129942380286)	('>500', 26.032187562090204)	('>1k', 14.039340353665805)	('>5k', 0.0)	('>10k+', 0.0)
554B14_S72_L001_R2_001	(1.0, 9.580766938207828)	(2.0, 1.994834094973177)	(3.0, 1.0252334591694814)	(4.0, 0.5563282336578581)	(5.0, 0.337770713292271)	(6.0, 0.28611166302404134)	(7.0, 0.305980528511822)	(8.0, 0.25432147824359225)	(9.0, 0.3218756209020465)	('>10', 3.4134710908007153)	('>50', 4.367176634214187)	('>100', 23.1432545201669)	('>500', 24.64931452414067)	('>1k', 29.763560500695412)	('>5k', 0.0)	('>10k+', 0.0)
574A0_S97_L001_R1_001	(1.0, 3.2082600482053287)	(2.0, 1.2409615008794217)	(3.0, 0.708422904045339)	(4.0, 0.47553905283043446)	(5.0, 0.5048531040323107)	(6.0, 0.30291186241938634)	(7.0, 0.28499772001823986)	(8.0, 0.20845547521334112)	(9.0, 0.2051983584131327)	('>10', 4.804247280307472)	('>50', 4.01765357305713)	('>100', 9.048270470979089)	('>500', 6.919744642042863)	('>1k', 35.406488176666016)	('>5k', 32.6639958308905)	('>10k+', 0.0)
574A0_S97_L001_R2_001	(1.0, 5.296071917138949)	(2.0, 1.0162204416650382)	(3.0, 0.7572796560484659)	(4.0, 0.5537098560354374)	(5.0, 0.5374242720343951)	(6.0, 0.5569669728356459)	(7.0, 0.3761969904240766)	(8.0, 0.364797081623347)	(9.0, 0.36642564002345124)	('>10', 3.3922871474171066)	('>50', 2.7082926193733305)	('>100', 7.1461142596573515)	('>500', 0.0)	('>1k', 20.537749983714416)	('>5k', 56.390463162008984)	('>10k+', 0.0)
574A14_S98_L001_R1_001	(1.0, 4.711142546795665)	(2.0, 1.5914315305529594)	(3.0, 0.9093894460302624)	(4.0, 0.697198575289868)	(5.0, 0.40417308712456107)	(6.0, 0.5001641953166444)	(7.0, 0.37133402379569047)	(8.0, 0.34354712405587695)	(9.0, 0.2955515699598353)	('>10', 7.247328668502286)	('>50', 4.665673074494152)	('>100', 14.100588577058126)	('>500', 13.352868365877688)	('>1k', 50.80960921514639)	('>5k', 0.0)	('>10k+', 0.0)
574A14_S98_L001_R2_001	(1.0, 6.74969055498017)	(2.0, 1.500492585949933)	(3.0, 0.916967691413848)	(4.0, 0.5860509763306136)	(5.0, 0.5304771768509864)	(6.0, 0.48500770454947334)	(7.0, 0.3006037335488923)	(8.0, 0.40417308712456107)	(9.0, 0.363755778412105)	('>10', 3.9760527445878697)	('>50', 3.3950539318463133)	('>100', 10.763634526485967)	('>500', 8.16934852350519)	('>1k', 61.858690984414075)	('>5k', 0.0)	('>10k+', 0.0)
574B0_S99_L001_R1_001	(1.0, 4.620966202024059)	(2.0, 1.4512125262554898)	(3.0, 0.99020704329087)	(4.0, 0.6328595979159279)	(5.0, 0.5592078343653673)	(6.0, 0.409176464169781)	(7.0, 0.4009929348863853)	(8.0, 0.28369568182438143)	(9.0, 0.2209552906516817)	('>10', 8.66635751111596)	('>50', 6.394064213426444)	('>100', 9.558362203006084)	('>500', 17.466379333860715)	('>1k', 48.34556316320685)	('>5k', 0.0)	('>10k+', 0.0)
574B0_S99_L001_R2_001	(1.0, 7.245151258899588)	(2.0, 1.3966556643661856)	(3.0, 1.0393082189912437)	(4.0, 0.6110368531602063)	(5.0, 0.5182901879483892)	(6.0, 0.3764423470361985)	(7.0, 0.15275921329005157)	(8.0, 0.3273411713358248)	(9.0, 0.171854114951308)	('>10', 6.012166180201315)	('>50', 5.425679914891295)	('>100', 7.916200660138029)	('>500', 11.020486101639433)	('>1k', 57.786628113150925)	('>5k', 0.0)	('>10k+', 0.0)
574B14_S100_L001_R1_001	(1.0, 4.1613600687142736)	(2.0, 1.4690637680300922)	(3.0, 0.8707757012113851)	(4.0, 0.5568225572372123)	(5.0, 0.4294642063797648)	(6.0, 0.4975861149779344)	(7.0, 0.4768533601871872)	(8.0, 0.284334922844534)	(9.0, 0.426502384266801)	('>10', 6.219826437224181)	('>50', 3.7022776412048692)	('>100', 11.468175221396203)	('>500', 12.380416432189083)	('>1k', 57.05654118413648)	('>5k', 0.0)	('>10k+', 0.0)
574B14_S100_L001_R2_001	(1.0, 6.427153985131653)	(2.0, 1.5105292776115866)	(3.0, 0.9152030329058437)	(4.0, 0.7937683262743239)	(5.0, 0.6071735331575986)	(6.0, 0.426502384266801)	(7.0, 0.37318958623345083)	(8.0, 0.3080294997482451)	(9.0, 0.3465331872167758)	('>10', 4.47827503480141)	('>50', 2.4138850220655748)	('>100', 8.692947901549033)	('>500', 0.0)	('>1k', 72.7068092290377)	('>5k', 0.0)	('>10k+', 0.0)
576A0_S93_L001_R1_001	(1.0, 5.704861111111112)	(2.0, 1.6944444444444446)	(3.0, 1.2604166666666665)	(4.0, 0.9722222222222222)	(5.0, 0.607638888888889)	(6.0, 0.5)	(7.0, 0.43750000000000006)	(8.0, 0.3611111111111111)	(9.0, 0.28125)	('>10', 10.277777777777777)	('>50', 5.78125)	('>100', 19.413194444444446)	('>500', 7.336805555555556)	('>1k', 45.37152777777778)	('>5k', 0.0)	('>10k+', 0.0)
576A0_S93_L001_R2_001	(1.0, 7.739583333333333)	(2.0, 1.8194444444444444)	(3.0, 1.1354166666666667)	(4.0, 0.8611111111111112)	(5.0, 0.4861111111111111)	(6.0, 0.3125)	(7.0, 0.3159722222222222)	(8.0, 0.3611111111111111)	(9.0, 0.21875000000000003)	('>10', 2.520833333333333)	('>50', 1.5833333333333335)	('>100', 4.420138888888888)	('>500', 19.95138888888889)	('>1k', 58.27430555555555)	('>5k', 0.0)	('>10k+', 0.0)
576A14_S94_L001_R1_001	(1.0, 6.133789271211797)	(2.0, 2.0883583183219856)	(3.0, 1.3647604799560347)	(4.0, 0.9770097395658413)	(5.0, 0.8243519677586787)	(6.0, 0.5312490458889262)	(7.0, 0.4701859371660611)	(8.0, 0.5373553567612127)	(9.0, 0.6045247763563643)	('>10', 7.654260678411137)	('>50', 5.684975422098739)	('>100', 32.30238451439563)	('>500', 7.382529844594387)	('>1k', 33.44426464751321)	('>5k', 0.0)	('>10k+', 0.0)
576A14_S94_L001_R2_001	(1.0, 7.17796843037279)	(2.0, 1.6303850029004978)	(3.0, 0.8793087656092572)	(4.0, 0.6350563307177968)	(5.0, 0.36637865233719047)	(6.0, 0.4396543828046286)	(7.0, 0.36332549690104726)	(8.0, 0.3908038958263365)	(9.0, 0.30226238817818213)	('>10', 3.3218331145238604)	('>50', 2.027295209599121)	('>100', 11.562299636674503)	('>500', 11.098220010380729)	('>1k', 59.80520868317406)	('>5k', 0.0)	('>10k+', 0.0)
576B0_S95_L001_R1_001	(1.0, 5.512804651738215)	(2.0, 1.860695286403563)	(3.0, 1.1134479772361747)	(4.0, 0.8907583817889397)	(5.0, 0.705183718916244)	(6.0, 0.6532228133118891)	(7.0, 0.5196090560435482)	(8.0, 0.45527650624768035)	(9.0, 0.3117654336261289)	('>10', 8.145490535692193)	('>50', 7.682791042929606)	('>100', 24.025733019918345)	('>500', 7.5739205740442905)	('>1k', 40.54930100210318)	('>5k', 0.0)	('>10k+', 0.0)
576B0_S95_L001_R2_001	(1.0, 7.1285413831498206)	(2.0, 1.6231597179265125)	(3.0, 0.9798342199678338)	(4.0, 0.7027093900779413)	(5.0, 0.4948657676605221)	(6.0, 0.29691946059631324)	(7.0, 0.3117654336261289)	(8.0, 0.29691946059631324)	(9.0, 0.2672275145366819)	('>10', 3.246319435853025)	('>50', 2.8034145737968577)	('>100', 4.228627984659161)	('>500', 5.342075961895336)	('>1k', 72.27761969565756)	('>5k', 0.0)	('>10k+', 0.0)
576B14_S96_L001_R1_001	(1.0, 4.7296158240770225)	(2.0, 1.6183715136643753)	(3.0, 1.0395789237080189)	(4.0, 0.7867083746979602)	(5.0, 0.5244722497986402)	(6.0, 0.44954764268454867)	(7.0, 0.4195777998389121)	(8.0, 0.3596381141476389)	(9.0, 0.3371607320134115)	('>10', 7.222732125798416)	('>50', 4.482364620600521)	('>100', 20.74287747953622)	('>500', 8.213610054882274)	('>1k', 35.94695337816322)	('>5k', 13.126791166388822)	('>10k+', 0.0)
576B14_S96_L001_R2_001	(1.0, 7.3538501882480745)	(2.0, 1.6333564350871934)	(3.0, 1.1013917245771443)	(4.0, 0.7192762282952778)	(5.0, 0.5525689774664244)	(6.0, 0.3596381141476389)	(7.0, 0.3540187686140821)	(8.0, 0.2697285856107292)	(9.0, 0.2697285856107292)	('>10', 2.9763800176072825)	('>50', 1.041452038885871)	('>100', 4.343754097439452)	('>500', 6.91554123663064)	('>1k', 62.44216756888381)	('>5k', 9.66714743289565)	('>10k+', 0.0)
578A0_S101_L001_R1_001	(1.0, 4.718045797080346)	(2.0, 1.4343441697914012)	(3.0, 0.862790782336452)	(4.0, 0.7717790964359824)	(5.0, 0.3640467436018785)	(6.0, 0.524227310786705)	(7.0, 0.3822490807819724)	(8.0, 0.4077323528341039)	(9.0, 0.3604062761658597)	('>10', 9.774655065710437)	('>50', 4.830900287596927)	('>100', 7.262732534857476)	('>500', 13.233099129928283)	('>1k', 55.072991372092176)	('>5k', 0.0)	('>10k+', 0.0)
578A0_S101_L001_R2_001	(1.0, 6.6729768102224325)	(2.0, 1.3542538861989881)	(3.0, 1.0921402308056356)	(4.0, 0.8445884451563581)	(5.0, 0.5824747897630055)	(6.0, 0.28395646000946523)	(7.0, 0.4332156248862354)	(8.0, 0.29123739488150274)	(9.0, 0.19658524154501436)	('>10', 4.04455932141687)	('>50', 3.396556117805526)	('>100', 9.341439440824201)	('>500', 0.0)	('>1k', 71.46601623648476)	('>5k', 0.0)	('>10k+', 0.0)
578A14_S102_L001_R1_001	(1.0, 4.631105957385128)	(2.0, 1.3552688795477605)	(3.0, 0.804464415132628)	(4.0, 0.826206696622699)	(5.0, 0.5616756051601681)	(6.0, 0.4783301927815626)	(7.0, 0.40585592114799246)	(8.0, 0.4348456298014205)	(9.0, 0.423974489056385)	('>10', 8.193216408175099)	('>50', 5.007972169879692)	('>100', 15.132627917089433)	('>500', 2.0691404551384256)	('>1k', 59.67531526308161)	('>5k', 0.0)	('>10k+', 0.0)
578A14_S102_L001_R2_001	(1.0, 7.182200318886796)	(2.0, 1.3335265980576894)	(3.0, 1.0218872300333381)	(4.0, 0.7392375706624149)	(5.0, 0.5979127409769531)	(6.0, 0.5652993187418467)	(7.0, 0.48195390636324104)	(8.0, 0.11595883461371213)	(9.0, 0.1630671111755327)	('>10', 4.02232207566314)	('>50', 3.1345122481519065)	('>100', 12.73735323959994)	('>500', 3.605595013770112)	('>1k', 64.29917379330338)	('>5k', 0.0)	('>10k+', 0.0)
578B0_S103_L001_R1_001	(1.0, 4.982180784045502)	(2.0, 1.6487274559919365)	(3.0, 0.9827567587026171)	(4.0, 0.7055689549659815)	(5.0, 0.5759746571150869)	(6.0, 0.6479714892544728)	(7.0, 0.5291767162244861)	(8.0, 0.4319809928363152)	(9.0, 0.809964361568091)	('>10', 5.730947838295115)	('>50', 4.132618164800748)	('>100', 29.086720184311893)	('>500', 9.050001799920803)	('>1k', 40.68540984196695)	('>5k', 0.0)	('>10k+', 0.0)
578B0_S103_L001_R2_001	(1.0, 6.9944922423413365)	(2.0, 1.619928723136182)	(3.0, 0.8639619856726304)	(4.0, 0.7199683213938587)	(5.0, 0.4859786169408546)	(6.0, 0.5615752906872097)	(7.0, 0.3779833687317758)	(8.0, 0.1727923971345261)	(9.0, 0.19439144677634185)	('>10', 2.577486590590014)	('>50', 2.24270132114187)	('>100', 23.773353972425213)	('>500', 3.520645091615969)	('>1k', 55.89474063141222)	('>5k', 0.0)	('>10k+', 0.0)
578B14_S104_L001_R1_001	(1.0, 4.6142784638809)	(2.0, 1.5225850109964472)	(3.0, 0.9135510065978684)	(4.0, 0.6597868380984605)	(5.0, 0.48638132295719844)	(6.0, 0.32989341904923025)	(7.0, 0.5032989341904923)	(8.0, 0.4398578920656403)	(9.0, 0.30451700219928945)	('>10', 7.388766706141093)	('>50', 6.107257655219083)	('>100', 9.943326002368465)	('>500', 2.5418710878024022)	('>1k', 64.24462865843343)	('>5k', 0.0)	('>10k+', 0.0)
578B14_S104_L001_R2_001	(1.0, 6.9742852309253935)	(2.0, 1.7086787345626797)	(3.0, 1.3322618846218914)	(4.0, 0.6767044493317543)	(5.0, 0.6132634072069024)	(6.0, 0.3806462527491118)	(7.0, 0.41448147521569956)	(8.0, 0.27068177973270174)	(9.0, 0.1903231263745559)	('>10', 3.4469632887836235)	('>50', 3.865674166807647)	('>100', 1.5056673997631533)	('>500', 0.0)	('>1k', 78.62036880392489)	('>5k', 0.0)	('>10k+', 0.0)
583A0_S129_L001_R1_001	(1.0, 5.971717943818078)	(2.0, 1.8090324224472896)	(3.0, 1.1752340913433976)	(4.0, 0.7134212370214663)	(5.0, 0.5414357602395057)	(6.0, 0.5732849226065355)	(7.0, 0.6019491687368622)	(8.0, 0.5350659277660997)	(9.0, 0.40129944582457483)	('>10', 9.188483342888082)	('>50', 5.478055927129116)	('>100', 34.59137524683101)	('>500', 16.30677113191923)	('>1k', 22.112873431428753)	('>5k', 0.0)	('>10k+', 0.0)
583A0_S129_L001_R2_001	(1.0, 8.452767692209695)	(2.0, 1.7007452703993884)	(3.0, 0.9554748710108925)	(4.0, 0.764379896808714)	(5.0, 0.636983247340595)	(6.0, 0.4395184406650105)	(7.0, 0.33441620485381235)	(8.0, 0.4076692782979808)	(9.0, 0.34397095356392127)	('>10', 4.041658704376075)	('>50', 3.3250525511179054)	('>100', 25.785081852347286)	('>500', 21.63832091216001)	('>1k', 31.173960124848715)	('>5k', 0.0)	('>10k+', 0.0)
583A14_S130_L001_R1_001	(1.0, 5.960646066405267)	(2.0, 1.6835137954602686)	(3.0, 1.100759020108637)	(4.0, 0.7913953739343141)	(5.0, 0.6115327889492428)	(6.0, 0.6043382855498399)	(7.0, 0.42807295226446995)	(8.0, 0.4316702039641714)	(9.0, 0.3561279182704414)	('>10', 10.442821684233246)	('>50', 5.579337386236915)	('>100', 29.774452318428718)	('>500', 10.471599697830857)	('>1k', 31.763732508363614)	('>5k', 0.0)	('>10k+', 0.0)
